lga;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;category
Darwin (C);2016;Northern Territory;French;322.0;30.0;40.0;137.0;9.0;534.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Australian Aboriginal;36.0;338.0;179.0;5667.0;158.0;6377.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2006;Northern Territory;French;194.0;37.0;35.0;112.0;3.0;381.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Macedonian;35.0;3.0;0.0;9.0;3.0;50.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Australian;743.0;2343.0;2242.0;16387.0;374.0;22084.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Spanish;364.0;17.0;14.0;64.0;5.0;468.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Croatian;66.0;23.0;18.0;56.0;0.0;170.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin;2021;Northern Territory;Samoan;58.0;13.0;7.0;20.0;3.0;101.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Lebanese;43.0;4.0;0.0;25.0;0.0;72.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Scottish;1184.0;458.0;362.0;3307.0;69.0;5380.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Other(d);6090.0;533.0;637.0;829.0;265.0;8354.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Australian;482.0;2294.0;2188.0;17285.0;601.0;22850.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Croatian;71.0;22.0;14.0;38.0;3.0;148.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2011;Northern Territory;Irish;1181.0;503.0;346.0;4652.0;120.0;6802.0;BY COUNTRY OF BIRTH OF PARENTS
Darwin (C);2016;Northern Territory;Welsh;191.0;34.0;41.0;177.0;0.0;437.0;BY COUNTRY OF BIRTH OF PARENTS
