suburb;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;abs_lga
Alawa;2016;Northern Territory;Spanish;8.0;0.0;0.0;0.0;0.0;12.0;Darwin
Anula;2016;Northern Territory;Other(d);228.0;13.0;45.0;18.0;10.0;301.0;Darwin
Bayview (NT);2016;Northern Territory;Russian;0.0;0.0;0.0;3.0;0.0;4.0;Darwin
Brinkin;2016;Northern Territory;Korean;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Casuarina (NT);2016;Northern Territory;Sri Lankan;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Coconut Grove;2016;Northern Territory;Maori;6.0;5.0;0.0;3.0;0.0;18.0;Darwin
Coconut Grove;2016;Northern Territory;New Zealander;17.0;0.0;0.0;0.0;0.0;20.0;Darwin
Coconut Grove;2016;Northern Territory;Polish;3.0;0.0;0.0;4.0;0.0;7.0;Darwin
Coonawarra (NT);2016;Northern Territory;French;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2016;Northern Territory;French;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Eaton (NT);2016;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2016;Northern Territory;Maori;0.0;0.0;0.0;0.0;0.0;4.0;Darwin
Eaton (NT);2016;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Karama;2016;Northern Territory;Other(d);710.0;49.0;63.0;69.0;9.0;893.0;Darwin
Larrakeyah;2016;Northern Territory;Croatian;12.0;3.0;0.0;0.0;0.0;17.0;Darwin
Larrakeyah;2016;Northern Territory;English;317.0;75.0;103.0;650.0;4.0;1148.0;Darwin
Larrakeyah;2016;Northern Territory;Serbian;7.0;0.0;0.0;0.0;0.0;8.0;Darwin
Larrakeyah;2016;Northern Territory;Spanish;9.0;0.0;0.0;0.0;0.0;9.0;Darwin
Lee Point;2016;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Ludmilla;2016;Northern Territory;Sri Lankan;10.0;0.0;0.0;0.0;0.0;11.0;Darwin
Lyons (NT);2016;Northern Territory;French;4.0;0.0;0.0;7.0;0.0;12.0;Darwin
Lyons (NT);2016;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lyons (NT);2016;Northern Territory;Other(d);176.0;18.0;21.0;29.0;0.0;248.0;Darwin
Malak;2016;Northern Territory;Hungarian;7.0;0.0;0.0;0.0;0.0;4.0;Darwin
Millner;2016;Northern Territory;Serbian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Nakara;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2016;Northern Territory;Chinese;91.0;7.0;6.0;29.0;5.0;137.0;Darwin
Parap;2016;Northern Territory;Maltese;0.0;6.0;0.0;0.0;0.0;12.0;Darwin
Parap;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Parap;2016;Northern Territory;Ancestry not stated;3.0;0.0;0.0;12.0;259.0;275.0;Darwin
Rapid Creek;2016;Northern Territory;Polish;19.0;0.0;3.0;11.0;0.0;31.0;Darwin
Rapid Creek;2016;Northern Territory;Scottish;56.0;21.0;21.0;180.0;0.0;283.0;Darwin
Stuart Park;2016;Northern Territory;Polish;12.0;3.0;0.0;7.0;0.0;23.0;Darwin
The Gardens (NT);2016;Northern Territory;German;6.0;0.0;0.0;13.0;0.0;19.0;Darwin
The Gardens (NT);2016;Northern Territory;Spanish;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
The Narrows (NT);2016;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
The Narrows (NT);2016;Northern Territory;Dutch;5.0;3.0;3.0;5.0;0.0;19.0;Darwin
The Narrows (NT);2016;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;4.0;Darwin
Tiwi;2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2016;Northern Territory;Greek;158.0;18.0;13.0;18.0;3.0;210.0;Darwin
Wanguri;2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;4.0;Darwin
Wanguri;2016;Northern Territory;Russian;4.0;0.0;0.0;5.0;0.0;10.0;Darwin
Woolner;2016;Northern Territory;Polish;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Wulagi;2016;Northern Territory;Indian;44.0;0.0;0.0;0.0;0.0;46.0;Darwin
Wulagi;2016;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Bayview (NT);2011;Northern Territory;English;116.0;48.0;35.0;276.0;4.0;479.0;Darwin
Brinkin;2011;Northern Territory;French;0.0;0.0;0.0;4.0;0.0;4.0;Darwin
Brinkin;2011;Northern Territory;Polish;5.0;6.0;0.0;0.0;0.0;11.0;Darwin
Jingili;2011;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2011;Northern Territory;Scottish;42.0;24.0;12.0;108.0;5.0;191.0;Darwin
Marrara;2011;Northern Territory;South African;8.0;0.0;0.0;0.0;0.0;8.0;Darwin
Millner;2011;Northern Territory;French;8.0;3.0;0.0;7.0;0.0;18.0;Darwin
Moil;2011;Northern Territory;Welsh;7.0;0.0;0.0;3.0;0.0;10.0;Darwin
Rapid Creek;2011;Northern Territory;Greek;31.0;3.0;10.0;11.0;3.0;58.0;Darwin
Rapid Creek;2011;Northern Territory;Lebanese;3.0;3.0;0.0;3.0;0.0;9.0;Darwin
The Gardens (NT);2011;Northern Territory;Dutch;10.0;4.0;0.0;3.0;0.0;17.0;Darwin
The Narrows (NT);2011;Northern Territory;Russian;0.0;0.0;3.0;0.0;0.0;3.0;Darwin
Tiwi;2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wagaman;2011;Northern Territory;Italian;5.0;4.0;0.0;16.0;0.0;25.0;Darwin
Woolner;2011;Northern Territory;New Zealander;6.0;0.0;5.0;0.0;0.0;11.0;Darwin
Jingili;2006;Northern Territory;South African;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Larrakeyah;2006;Northern Territory;Macedonian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Larrakeyah;2006;Northern Territory;Sinhalese;4.0;0.0;3.0;0.0;0.0;7.0;Darwin
Millner;2006;Northern Territory;New Zealander;13.0;0.0;4.0;0.0;0.0;17.0;Darwin
Wagaman;2006;Northern Territory;Sinhalese;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Marrara;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Moil;2016;Northern Territory;English;86.0;59.0;41.0;340.0;6.0;533.0;Darwin
Muirhead;2016;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Muirhead;2016;Northern Territory;New Zealander;16.0;4.0;0.0;0.0;0.0;21.0;Darwin
Rapid Creek;2016;Northern Territory;Hungarian;5.0;3.0;0.0;0.0;0.0;11.0;Darwin
Rapid Creek;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Stuart Park;2016;Northern Territory;New Zealander;32.0;8.0;4.0;0.0;0.0;49.0;Darwin
The Gardens (NT);2016;Northern Territory;Irish;22.0;9.0;0.0;61.0;0.0;92.0;Darwin
The Narrows (NT);2016;Northern Territory;Hungarian;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
The Narrows (NT);2016;Northern Territory;Maori;5.0;0.0;0.0;0.0;0.0;5.0;Darwin
The Narrows (NT);2016;Northern Territory;Sri Lankan;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Casuarina (NT);2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Hungarian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Coonawarra (NT);2016;Northern Territory;Welsh;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2016;Northern Territory;Australian;0.0;0.0;0.0;6.0;0.0;6.0;Darwin
East Point;2016;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2016;Northern Territory;Italian;14.0;20.0;5.0;24.0;9.0;68.0;Darwin
Moil;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Moil;2016;Northern Territory;Russian;3.0;0.0;3.0;0.0;0.0;6.0;Darwin
Coonawarra (NT);2011;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Filipino;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
East Point;2011;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2011;Northern Territory;Australian;7.0;20.0;19.0;207.0;4.0;257.0;Darwin
Eaton (NT);2011;Northern Territory;Scottish;9.0;13.0;10.0;36.0;0.0;68.0;Darwin
Fannie Bay;2011;Northern Territory;Indian;18.0;0.0;3.0;0.0;0.0;21.0;Darwin
Fannie Bay;2011;Northern Territory;Lebanese;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Jingili;2011;Northern Territory;Maori;5.0;0.0;0.0;3.0;0.0;8.0;Darwin
Karama;2011;Northern Territory;Filipino;229.0;4.0;14.0;9.0;10.0;266.0;Darwin
Larrakeyah;2011;Northern Territory;Croatian;10.0;0.0;0.0;3.0;0.0;13.0;Darwin
Larrakeyah;2011;Northern Territory;Scottish;86.0;32.0;18.0;184.0;5.0;325.0;Darwin
Leanyer;2011;Northern Territory;Spanish;19.0;0.0;0.0;4.0;0.0;23.0;Darwin
Lee Point;2011;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2011;Northern Territory;Italian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Ludmilla;2011;Northern Territory;Chinese;18.0;3.0;4.0;5.0;3.0;33.0;Darwin
Ludmilla;2011;Northern Territory;Dutch;16.0;3.0;3.0;3.0;0.0;25.0;Darwin
Malak;2011;Northern Territory;Greek;44.0;7.0;12.0;16.0;3.0;82.0;Darwin
Malak;2011;Northern Territory;Indian;19.0;3.0;3.0;3.0;0.0;28.0;Darwin
Malak;2011;Northern Territory;Polish;6.0;0.0;0.0;0.0;0.0;6.0;Darwin
Marrara;2011;Northern Territory;Indian;18.0;0.0;0.0;0.0;0.0;18.0;Darwin
Moil;2011;Northern Territory;Spanish;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Moil;2011;Northern Territory;Vietnamese;10.0;0.0;0.0;0.0;0.0;10.0;Darwin
Nakara;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2011;Northern Territory;Other(d);300.0;32.0;23.0;46.0;17.0;418.0;Darwin
Parap;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Parap;2011;Northern Territory;Serbian;0.0;0.0;0.0;3.0;3.0;6.0;Darwin
Stuart Park;2011;Northern Territory;Welsh;13.0;3.0;3.0;7.0;3.0;29.0;Darwin
The Narrows (NT);2011;Northern Territory;Greek;4.0;4.0;0.0;9.0;0.0;17.0;Darwin
The Narrows (NT);2011;Northern Territory;Vietnamese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2011;Northern Territory;Greek;81.0;9.0;3.0;17.0;0.0;110.0;Darwin
Wanguri;2011;Northern Territory;Filipino;36.0;3.0;3.0;0.0;0.0;42.0;Darwin
Winnellie;2011;Northern Territory;Italian;4.0;3.0;0.0;3.0;0.0;10.0;Darwin
Woolner;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2006;Northern Territory;German;26.0;6.0;3.0;56.0;5.0;96.0;Darwin
Brinkin;2006;Northern Territory;Lebanese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Coconut Grove;2006;Northern Territory;Greek;56.0;8.0;0.0;15.0;6.0;85.0;Darwin
Fannie Bay;2006;Northern Territory;Dutch;24.0;10.0;3.0;6.0;0.0;43.0;Darwin
Moil;2016;Northern Territory;German;23.0;4.0;3.0;49.0;0.0;83.0;Darwin
Moil;2016;Northern Territory;Sri Lankan;12.0;0.0;0.0;0.0;0.0;14.0;Darwin
Muirhead;2016;Northern Territory;Dutch;8.0;4.0;3.0;7.0;0.0;21.0;Darwin
Muirhead;2016;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2016;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Stuart Park;2016;Northern Territory;Indian;106.0;0.0;0.0;3.0;0.0;110.0;Darwin
Winnellie;2016;Northern Territory;Italian;4.0;0.0;0.0;5.0;0.0;8.0;Darwin
Wulagi;2016;Northern Territory;Korean;7.0;0.0;4.0;0.0;0.0;10.0;Darwin
Anula;2016;Northern Territory;Welsh;4.0;3.0;0.0;4.0;0.0;12.0;Darwin
Anula;2016;Northern Territory;Ancestry not stated;3.0;0.0;0.0;7.0;173.0;181.0;Darwin
Bayview (NT);2016;Northern Territory;Croatian;0.0;0.0;0.0;7.0;0.0;8.0;Darwin
East Point;2016;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2016;Northern Territory;German;0.0;3.0;3.0;8.0;0.0;12.0;Darwin
Fannie Bay;2016;Northern Territory;Polish;13.0;4.0;0.0;9.0;0.0;33.0;Darwin
Leanyer;2016;Northern Territory;German;44.0;15.0;12.0;125.0;3.0;194.0;Darwin
Leanyer;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lee Point;2016;Northern Territory;Dutch;0.0;0.0;0.0;0.0;0.0;5.0;Darwin
Ludmilla;2016;Northern Territory;Australian Aboriginal;0.0;3.0;0.0;281.0;7.0;294.0;Darwin
Ludmilla;2016;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Lyons (NT);2016;Northern Territory;Australian;20.0;91.0;61.0;623.0;6.0;793.0;Darwin
Lyons (NT);2016;Northern Territory;Filipino;90.0;4.0;12.0;3.0;0.0;109.0;Darwin
Malak;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2016;Northern Territory;Indian;194.0;0.0;0.0;3.0;0.0;197.0;Darwin
Parap;2016;Northern Territory;Maori;6.0;3.0;0.0;0.0;0.0;20.0;Darwin
Parap;2016;Northern Territory;Turkish;3.0;0.0;0.0;3.0;0.0;7.0;Darwin
Stuart Park;2016;Northern Territory;English;349.0;91.0;95.0;649.0;12.0;1191.0;Darwin
The Narrows (NT);2016;Northern Territory;Filipino;38.0;0.0;0.0;0.0;0.0;37.0;Darwin
The Narrows (NT);2016;Northern Territory;Polish;0.0;0.0;0.0;0.0;0.0;3.0;Darwin
Wagaman;2016;Northern Territory;Scottish;25.0;10.0;6.0;54.0;0.0;97.0;Darwin
Anula;2011;Northern Territory;Greek;19.0;3.0;3.0;17.0;0.0;42.0;Darwin
Anula;2011;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Bayview (NT);2011;Northern Territory;Macedonian;3.0;0.0;0.0;3.0;3.0;9.0;Darwin
Brinkin;2011;Northern Territory;Filipino;45.0;0.0;5.0;0.0;0.0;50.0;Darwin
Coconut Grove;2011;Northern Territory;Lebanese;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Eaton (NT);2011;Northern Territory;Vietnamese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2011;Northern Territory;Sinhalese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2011;Northern Territory;Spanish;3.0;0.0;0.0;3.0;0.0;6.0;Darwin
Fannie Bay;2011;Northern Territory;Ancestry not stated;10.0;0.0;3.0;24.0;196.0;233.0;Darwin
Jingili;2011;Northern Territory;Croatian;7.0;0.0;0.0;4.0;0.0;11.0;Darwin
Jingili;2011;Northern Territory;Welsh;6.0;3.0;3.0;4.0;0.0;16.0;Darwin
Karama;2011;Northern Territory;Russian;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Leanyer;2011;Northern Territory;Scottish;64.0;15.0;17.0;234.0;4.0;334.0;Darwin
Lee Point;2011;Northern Territory;French;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Malak;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Marrara;2011;Northern Territory;Chinese;38.0;8.0;3.0;11.0;0.0;60.0;Darwin
Marrara;2011;Northern Territory;Russian;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Millner;2011;Northern Territory;Chinese;71.0;5.0;5.0;9.0;3.0;93.0;Darwin
Moil;2011;Northern Territory;Maori;20.0;7.0;0.0;10.0;3.0;40.0;Darwin
Moil;2011;Northern Territory;New Zealander;11.0;3.0;0.0;0.0;6.0;20.0;Darwin
Moil;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2011;Northern Territory;Chinese;103.0;7.0;4.0;31.0;3.0;148.0;Darwin
Nightcliff;2011;Northern Territory;New Zealander;33.0;4.0;3.0;0.0;0.0;40.0;Darwin
Parap;2011;Northern Territory;Filipino;50.0;3.0;4.0;3.0;0.0;60.0;Darwin
Parap;2011;Northern Territory;Vietnamese;10.0;3.0;0.0;0.0;3.0;16.0;Darwin
The Narrows (NT);2011;Northern Territory;Filipino;6.0;3.0;3.0;0.0;0.0;12.0;Darwin
The Narrows (NT);2011;Northern Territory;Indian;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
The Narrows (NT);2011;Northern Territory;Scottish;6.0;0.0;3.0;38.0;3.0;50.0;Darwin
The Narrows (NT);2011;Northern Territory;Welsh;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2011;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2011;Northern Territory;German;4.0;0.0;3.0;7.0;0.0;14.0;Darwin
Woolner;2011;Northern Territory;Chinese;28.0;3.0;0.0;12.0;0.0;43.0;Darwin
Alawa;2016;Northern Territory;South African;4.0;3.0;3.0;0.0;0.0;9.0;Darwin
Bayview (NT);2016;Northern Territory;Maori;10.0;0.0;0.0;0.0;0.0;11.0;Darwin
Brinkin;2016;Northern Territory;Australian;11.0;25.0;31.0;151.0;0.0;218.0;Darwin
Brinkin;2016;Northern Territory;Italian;16.0;0.0;0.0;9.0;0.0;22.0;Darwin
Brinkin;2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Casuarina (NT);2016;Northern Territory;English;20.0;6.0;9.0;18.0;0.0;45.0;Darwin
Casuarina (NT);2016;Northern Territory;Korean;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
