state;lga_name;suburb;category;sub_category;males;females;persons;lga_code;scc_code;geo_shape;census_year;lga;joint_regional_groups;year_text;geo_point_2d
Northern Territory;Darwin;Alawa;Age of persons attending an educational institution(e);20-24 years;24;22;46;71000;70003;"{""coordinates"": [[[130.88214945900006, -12.377576058999978], [130.87477013900002, -12.37454097899996], [130.87240731900008, -12.376534508999953], [130.87016697900003, -12.375106178999943], [130.86560385900006, -12.376385708999976], [130.86783601900004, -12.378786098999967], [130.86588600900006, -12.381616098999928], [130.86660917900008, -12.384855338999955], [130.87945159900002, -12.381370178999928], [130.88214945900006, -12.377576058999978]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.379379175481102, 130.8730084196383
Northern Territory;Darwin;Anula;Age groups;85 years and over;3;4;7;71000;70014;"{""coordinates"": [[[130.88668253800006, -12.386396598999964], [130.88321178900003, -12.39524862899998], [130.897789998, -12.39593425], [130.89683563800008, -12.388513759999967], [130.8877528280001, -12.384587688999943], [130.88668253800006, -12.386396598999964]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.391244414206545, 130.89081492862664
Northern Territory;Darwin;Fannie Bay;Birthplace;Elsewhere(c);234;245;479;71000;70097;"{""coordinates"": [[[130.83110852100003, -12.417709178999926], [130.83556736100002, -12.426703418999978], [130.8328333610001, -12.43625211899996], [130.83797168, -12.436265138999941], [130.83797132000004, -12.43794515899998], [130.8415630300001, -12.432185518999972], [130.84154573, -12.429832928999929], [130.83972412, -12.428538278999952], [130.84112707000008, -12.426674368999954], [130.84506907000002, -12.429513248999966], [130.84797173000004, -12.428375018999928], [130.84851715000002, -12.422670638999932], [130.8473378000001, -12.420522438999967], [130.84323812000002, -12.422397668999963], [130.83782470000006, -12.418113128999948], [130.83110852100003, -12.417709178999926]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.426380612827941, 130.8393651780072
Northern Territory;Darwin;Fannie Bay;Age of persons attending an educational institution(e);20-24 years;14;13;27;71000;70097;"{""coordinates"": [[[130.83110852100003, -12.417709178999926], [130.83556736100002, -12.426703418999978], [130.8328333610001, -12.43625211899996], [130.83797168, -12.436265138999941], [130.83797132000004, -12.43794515899998], [130.8415630300001, -12.432185518999972], [130.84154573, -12.429832928999929], [130.83972412, -12.428538278999952], [130.84112707000008, -12.426674368999954], [130.84506907000002, -12.429513248999966], [130.84797173000004, -12.428375018999928], [130.84851715000002, -12.422670638999932], [130.8473378000001, -12.420522438999967], [130.84323812000002, -12.422397668999963], [130.83782470000006, -12.418113128999948], [130.83110852100003, -12.417709178999926]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.426380612827941, 130.8393651780072
Northern Territory;Darwin;Fannie Bay;Highest year of school completed(f);Did not go to school;3;7;10;71000;70097;"{""coordinates"": [[[130.83110852100003, -12.417709178999926], [130.83556736100002, -12.426703418999978], [130.8328333610001, -12.43625211899996], [130.83797168, -12.436265138999941], [130.83797132000004, -12.43794515899998], [130.8415630300001, -12.432185518999972], [130.84154573, -12.429832928999929], [130.83972412, -12.428538278999952], [130.84112707000008, -12.426674368999954], [130.84506907000002, -12.429513248999966], [130.84797173000004, -12.428375018999928], [130.84851715000002, -12.422670638999932], [130.8473378000001, -12.420522438999967], [130.84323812000002, -12.422397668999963], [130.83782470000006, -12.418113128999948], [130.83110852100003, -12.417709178999926]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.426380612827941, 130.8393651780072
Northern Territory;Darwin;Jingili;Age groups;05-14 years;149;153;302;71000;70138;"{""coordinates"": [[[130.86660917900008, -12.384855338999955], [130.86702618900006, -12.389227888999924], [130.87211786900002, -12.395299058999965], [130.878297069, -12.395274538999956], [130.87670551900007, -12.382594088999952], [130.86660917900008, -12.384855338999955]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.389045155415507, 130.87292996528393
Northern Territory;Darwin;Karama;Highest year of school completed(f);Year 8 or below;94;120;214;71000;70143;"{""coordinates"": [[[130.91143435700008, -12.39072908999998], [130.907744717, -12.401260459999946], [130.92268219700009, -12.409910449999927], [130.92314804700004, -12.400988559999973], [130.91920312700006, -12.394496769999932], [130.91143435700008, -12.39072908999998]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.400047003926316, 130.91605655400303
Northern Territory;Darwin;Leanyer;Highest year of school completed(f);Year 9 or equivalent;72;96;168;71000;70161;"{""coordinates"": [[[130.9036753680001, -12.384681169999965], [130.90363098800003, -12.382484569999974], [130.9054461280001, -12.382682649999936], [130.90741960800003, -12.373857958999961], [130.9008294680001, -12.36565474899993], [130.89232339800003, -12.365689028999952], [130.89078582800005, -12.377470568999968], [130.89584345800006, -12.378660098999944], [130.9036753680001, -12.384681169999965]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.373938865574505, 130.89911098213253
Northern Territory;Darwin;Tiwi;Indigenous persons;Torres Strait Islander;8;8;16;71000;70262;"{""coordinates"": [[[130.879670669, -12.346015998999974], [130.87054581900006, -12.35539597899998], [130.86634722000005, -12.364073918999964], [130.88149424900007, -12.367398848999926], [130.88286835900007, -12.368953338999972], [130.88571488900004, -12.365699458999927], [130.88579010900003, -12.351087888999928], [130.87971815900005, -12.35093588899997], [130.879670669, -12.346015998999974]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.358812369505445, 130.87787031949495
Northern Territory;Darwin;Tiwi;Language spoken at home;Other language(d);224;250;474;71000;70262;"{""coordinates"": [[[130.879670669, -12.346015998999974], [130.87054581900006, -12.35539597899998], [130.86634722000005, -12.364073918999964], [130.88149424900007, -12.367398848999926], [130.88286835900007, -12.368953338999972], [130.88571488900004, -12.365699458999927], [130.88579010900003, -12.351087888999928], [130.87971815900005, -12.35093588899997], [130.879670669, -12.346015998999974]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.358812369505445, 130.87787031949495
Northern Territory;Darwin;Wanguri;Age groups;15-19 years;85;58;143;71000;70280;"{""coordinates"": [[[130.89078582800005, -12.377470568999968], [130.8922164480001, -12.366520178999963], [130.88571488900004, -12.365699458999927], [130.88286835900007, -12.368953338999972], [130.8840688790001, -12.371407118999967], [130.8862476390001, -12.371805238999968], [130.88477274900004, -12.37638931899994], [130.89078582800005, -12.377470568999968]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.371109734949519, 130.88804126673585
Northern Territory;Darwin;Winnellie;Highest year of school completed(f);Year 11 or equivalent;24;12;36;71000;70290;"{""coordinates"": [[[130.90849270700005, -12.424346129999947], [130.86825777900003, -12.425036919999968], [130.86161871900003, -12.4274714799999], [130.86001410900008, -12.432732359999932], [130.89211891800002, -12.432566419999944], [130.90392768700008, -12.439006119999931], [130.90389235700002, -12.428585619999977], [130.90736270700006, -12.427537119999954], [130.90849270700005, -12.424346129999947]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.4292874572468, 130.88571520601627
Northern Territory;Darwin;Woolner;Language spoken at home;English only;221;220;441;71000;70293;"{""coordinates"": [[[130.86161871900003, -12.4274714799999], [130.84802937000003, -12.433713359999954], [130.8417577900001, -12.437629719999961], [130.84123862, -12.439373599999954], [130.84592982000004, -12.438187719999974], [130.84636052000005, -12.441966319999949], [130.84911039000005, -12.442221379999978], [130.8520217, -12.436212119999936], [130.86001410900008, -12.432732359999932], [130.86161871900003, -12.4274714799999]]], ""type"": ""Polygon""}";2006;Darwin;;2006;-12.435027638207169, 130.85148826096662
Northern Territory;Darwin;Alawa;Age of persons attending an educational institution(d);20-24 years;21;16;37;71000;70003;"{""coordinates"": [[[130.88214945900006, -12.377576058999978], [130.87477013900002, -12.37454097899996], [130.87240731900008, -12.376534508999953], [130.87016697900003, -12.375106178999943], [130.86560385900006, -12.376385708999976], [130.86783601900004, -12.378786098999967], [130.86588600900006, -12.381616098999928], [130.86660917900008, -12.384855338999955], [130.87945159900002, -12.381370178999928], [130.88214945900006, -12.377576058999978]]], ""type"": ""Polygon""}";2011;Darwin;;2011;-12.379379175481102, 130.8730084196383
