lga;census_year;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2021;Northern Territory;Papua New Guinea;0.0;13.0;18.0;64.0;83.0;39.0;25.0;3.0;0.0;245.0
Darwin (C);2016;Northern Territory;Lebanon;0.0;0.0;6.0;23.0;6.0;0.0;0.0;0.0;0.0;44.0
Darwin (C);2016;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;3.0;7.0;6.0;5.0;8.0;0.0;27.0
Darwin (C);2016;Northern Territory;Sri Lanka;16.0;58.0;35.0;264.0;62.0;43.0;31.0;19.0;3.0;526.0
Darwin (C);2016;Northern Territory;Taiwan;13.0;4.0;32.0;346.0;9.0;5.0;0.0;3.0;0.0;416.0
Darwin (C);2016;Northern Territory;The Former Yugoslav Republic of Macedonia;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;10.0
Darwin (C);2016;Northern Territory;Germany;0.0;11.0;22.0;164.0;57.0;48.0;90.0;39.0;7.0;445.0
Darwin (C);2016;Northern Territory;Ireland;6.0;35.0;42.0;541.0;18.0;28.0;25.0;8.0;5.0;702.0
Darwin (C);2016;Northern Territory;Mauritius;0.0;4.0;3.0;21.0;6.0;3.0;0.0;3.0;0.0;41.0
Darwin (C);2016;Northern Territory;Philippines;61.0;392.0;420.0;1580.0;466.0;302.0;107.0;27.0;14.0;3368.0
Darwin (C);2016;Northern Territory;France;3.0;10.0;23.0;110.0;27.0;7.0;20.0;3.0;0.0;218.0
Darwin (C);2016;Northern Territory;Zimbabwe;3.0;15.0;27.0;130.0;31.0;23.0;5.0;0.0;0.0;234.0
Darwin;2021;Northern Territory;China (excludes SARs and Taiwan)(c);8.0;43.0;148.0;689.0;146.0;78.0;63.0;22.0;14.0;1213.0
Darwin;2021;Northern Territory;Country of birth not stated;317.0;710.0;780.0;2365.0;817.0;648.0;420.0;184.0;85.0;6322.0
Darwin (C);2016;Northern Territory;India;66.0;173.0;186.0;1321.0;181.0;110.0;48.0;19.0;6.0;2106.0
Darwin;2021;Northern Territory;Turkey;0.0;0.0;0.0;14.0;3.0;9.0;3.0;3.0;0.0;36.0
