abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Alawa;Northern Territory;Afghanistan;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
Darwin;2016;Anula;Northern Territory;England;0.0;0.0;5.0;11.0;10.0;15.0;13.0;4.0;0.0;64.0
Darwin;2016;Anula;Northern Territory;France;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Anula;Northern Territory;India;4.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;24.0
Darwin;2016;Anula;Northern Territory;Born elsewhere(e);0.0;14.0;10.0;24.0;15.0;10.0;8.0;3.0;0.0;88.0
Darwin;2016;Bayview (NT);Northern Territory;Nepal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Brinkin;Northern Territory;India;0.0;3.0;30.0;77.0;3.0;3.0;0.0;0.0;0.0;113.0
Darwin;2016;Brinkin;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Casuarina (NT);Northern Territory;Croatia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Casuarina (NT);Northern Territory;Malta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coconut Grove;Northern Territory;Cambodia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Coconut Grove;Northern Territory;Lebanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coonawarra (NT);Northern Territory;Hong Kong (SAR of China)(c);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Iran;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Korea, Republic of (South);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;East Point;Northern Territory;Pakistan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
