lga;census_year;state;category;sub_category;males;females;persons;year_text
Darwin (C);2011;Northern Territory;Age groups;65-74 years;2032.0;1650.0;3682.0;2011
Darwin (C);2011;Northern Territory;Language spoken at home;English only;25342.0;23916.0;49258.0;2011
Darwin (C);2011;Northern Territory;Language spoken at home;Other language(c);7479.0;7808.0;15287.0;2011
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Year 9 or equivalent;1390.0;1160.0;2550.0;2011
Darwin (C);2016;Northern Territory;Age groups;45-54 years;5450.0;5201.0;10647.0;2016
Darwin (C);2006;Northern Territory;Highest year of school completed(f);Year 11 or equivalent;3842.0;3256.0;7098.0;2006
Darwin (C);2006;Northern Territory;Count of persons in other dwellings;Count of persons in other dwellings(a)(g);3571.0;2483.0;6054.0;2006
Darwin (C);2011;Northern Territory;Age groups;45-54 years;5274.0;5136.0;10410.0;2011
Darwin (C);2011;Northern Territory;Indigenous persons;Both Aboriginal and Torres Strait Islander(a);267.0;285.0;552.0;2011
Darwin;2021;Northern Territory;Highest year of school completed(f);Year 8 or below;972.0;1014.0;1991.0;2021
Darwin;2021;Northern Territory;Count of persons in other dwellings;Count of persons in other dwellings(g)(h);7964.0;7336.0;15304.0;2021
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Did not go to school;222.0;268.0;490.0;2011
Darwin (C);2006;Northern Territory;Language spoken at home;English only;25326.0;23784.0;49110.0;2006
Darwin (C);2006;Northern Territory;Age of persons attending an educational institution(e);15-19 years;1404.0;1273.0;2677.0;2006
Darwin (C);2006;Northern Territory;Age groups;15-19 years;2380.0;2172.0;4552.0;2006
Darwin (C);2006;Northern Territory;Highest year of school completed(f);Year 9 or equivalent;1448.0;1200.0;2648.0;2006
Darwin (C);2011;Northern Territory;Total persons;Total persons;37826.0;35104.0;72930.0;2011
Darwin (C);2011;Northern Territory;Age groups;15-19 years;2491.0;2082.0;4573.0;2011
Darwin (C);2016;Northern Territory;Age of persons attending an educational institution(e);0-4 years;485.0;489.0;975.0;2016
Darwin (C);2016;Northern Territory;Count of persons in occupied private dwellings;Count of persons in occupied private dwellings(g);34378.0;33717.0;68099.0;2016
Darwin;2021;Northern Territory;Highest year of school completed(f);Year 10 or equivalent;4285.0;3730.0;8010.0;2021
Darwin;2021;Northern Territory;Age groups;45-54 years;5130.0;5146.0;10273.0;2021
Darwin;2021;Northern Territory;Age groups;55-64 years;4323.0;4217.0;8544.0;2021
Darwin;2021;Northern Territory;Age groups;65-74 years;3013.0;2827.0;5845.0;2021
Darwin;2021;Northern Territory;Age groups;85 years and over;263.0;316.0;578.0;2021
Darwin;2021;Northern Territory;Birthplace;Elsewhere(c);13258.0;14269.0;27531.0;2021
Darwin;2021;Northern Territory;Count of persons in occupied private dwellings;Count of persons in occupied private dwellings(g);35891.0;37057.0;72942.0;2021
Darwin (C);2006;Northern Territory;Age groups;55-64 years;3946.0;3112.0;7058.0;2006
Darwin (C);2006;Northern Territory;Age groups;85 years and over;98.0;149.0;247.0;2006
Darwin (C);2006;Northern Territory;Highest year of school completed(f);Did not go to school;218.0;307.0;525.0;2006
Darwin (C);2011;Northern Territory;Indigenous persons;Aboriginal;2558.0;2780.0;5338.0;2011
Darwin (C);2016;Northern Territory;Age groups;35-44 years;6302.0;6006.0;12308.0;2016
Darwin (C);2016;Northern Territory;Language spoken at home;Australian citizen;29637.0;28042.0;57675.0;2016
Darwin (C);2016;Northern Territory;Age of persons attending an educational institution(e);05-14 years;4159.0;3946.0;8107.0;2016
Darwin (C);2016;Northern Territory;Count of persons in other dwellings;Count of persons in other dwellings(g)(h);9895.0;7568.0;17463.0;2016
Darwin (C);2006;Northern Territory;Age groups;35-44 years;5413.0;5303.0;10716.0;2006
Darwin (C);2011;Northern Territory;Language spoken at home;Australian citizen;28422.0;27302.0;55724.0;2011
Darwin (C);2011;Northern Territory;Age of persons attending an educational institution(d);05-14 years;3714.0;3729.0;7443.0;2011
Darwin (C);2011;Northern Territory;Age groups;05-14 years;4552.0;4493.0;9045.0;2011
Darwin (C);2011;Northern Territory;Indigenous persons;Torres Strait Islander;140.0;127.0;267.0;2011
Darwin;2021;Northern Territory;Birthplace;Australia(b);23605.0;23072.0;46679.0;2021
Darwin (C);2016;Northern Territory;Age groups;55-64 years;4396.0;4112.0;8511.0;2016
Darwin (C);2006;Northern Territory;Age groups;05-14 years;4563.0;4348.0;8911.0;2006
Darwin (C);2006;Northern Territory;Age of persons attending an educational institution(e);0-4 years;413.0;388.0;801.0;2006
Darwin (C);2006;Northern Territory;Language spoken at home;Australian citizen;28244.0;26841.0;55085.0;2006
Darwin (C);2016;Northern Territory;Language spoken at home;English only;25430.0;23677.0;49114.0;2016
Darwin (C);2016;Northern Territory;Age of persons attending an educational institution(e);20-24 years;630.0;769.0;1399.0;2016
Darwin (C);2016;Northern Territory;Age of persons attending an educational institution(e);25 years and over;1688.0;2803.0;4495.0;2016
Darwin (C);2006;Northern Territory;Age groups;45-54 years;5116.0;4940.0;10056.0;2006
Darwin (C);2006;Northern Territory;Age of persons attending an educational institution(e);25 years and over;1164.0;1827.0;2991.0;2006
Darwin (C);2006;Northern Territory;Count of persons in occupied private dwellings;Count of persons in occupied private dwellings(a);34027.0;33084.0;67111.0;2006
Darwin;2021;Northern Territory;Age of persons attending an education institution(e);15-19 years;1390.0;1427.0;2818.0;2021
