abs_lga;suburb;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;Jingili;2016;Northern Territory;;Serbian;;0.0;0.0;0.0;0.0;0.0
Darwin;Jingili;2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;13.0;0.0;13.0;0.0;13.0
Darwin;Larrakeyah;2016;Northern Territory;Indo-Aryan languages;Other(d);;79.0;6.0;83.0;3.0;80.0
Darwin;Larrakeyah;2016;Northern Territory;;Persian (excluding Dari);;9.0;0.0;8.0;0.0;8.0
Darwin;Lee Point;2016;Northern Territory;;Thai;;0.0;0.0;0.0;0.0;0.0
Darwin;Lyons (NT);2016;Northern Territory;Chinese languages;Mandarin;;17.0;6.0;28.0;0.0;28.0
Darwin;Lyons (NT);2016;Northern Territory;Chinese languages;Other(c);;21.0;3.0;23.0;0.0;23.0
Darwin;Lyons (NT);2016;Northern Territory;;Russian;;0.0;0.0;0.0;0.0;0.0
Darwin;Malak;2016;Northern Territory;Chinese languages;Mandarin;;18.0;12.0;31.0;0.0;31.0
Darwin;Malak;2016;Northern Territory;;Italian;;14.0;3.0;21.0;0.0;21.0
Darwin;Nakara;2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;Nakara;2016;Northern Territory;Indo-Aryan languages;Hindi;;6.0;0.0;6.0;0.0;6.0
Darwin;Nightcliff;2016;Northern Territory;;Polish;;6.0;0.0;6.0;0.0;6.0
Darwin;Parap;2016;Northern Territory;;Japanese;;29.0;28.0;63.0;0.0;63.0
Darwin;Stuart Park;2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Stuart Park;2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;57.0;3.0;63.0;0.0;63.0
Darwin;The Gardens (NT);2016;Northern Territory;;Dutch;;4.0;0.0;4.0;0.0;4.0
Darwin;The Gardens (NT);2016;Northern Territory;;Polish;;0.0;0.0;0.0;0.0;0.0
Darwin;Wanguri;2016;Northern Territory;;Tamil;;5.0;3.0;10.0;0.0;14.0
Darwin;Winnellie;2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;Winnellie;2016;Northern Territory;Indo-Aryan languages;Hindi;;0.0;0.0;0.0;0.0;0.0
Darwin;Winnellie;2016;Northern Territory;;Korean;;0.0;0.0;0.0;0.0;0.0
Darwin;Woolner;2016;Northern Territory;;Croatian;;0.0;0.0;0.0;0.0;0.0
Darwin;Alawa;2016;Northern Territory;;German;;10.0;0.0;10.0;0.0;10.0
Darwin;Anula;2016;Northern Territory;Chinese languages;Cantonese;;10.0;0.0;10.0;0.0;10.0
Darwin;Brinkin;2016;Northern Territory;Indo-Aryan languages;Bengali;;26.0;0.0;26.0;0.0;26.0
Darwin;Brinkin;2016;Northern Territory;;Spanish;;3.0;0.0;3.0;0.0;3.0
Darwin;Casuarina (NT);2016;Northern Territory;;German;;0.0;0.0;0.0;0.0;0.0
Darwin;Casuarina (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;5.0;0.0;5.0;0.0;5.0
Darwin;Casuarina (NT);2016;Northern Territory;;Tamil;;3.0;0.0;3.0;0.0;3.0
Darwin;Coconut Grove;2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;21.0;3.0;23.0;0.0;23.0
Darwin;Coconut Grove;2016;Northern Territory;;Other(f);;123.0;31.0;158.0;5.0;163.0
Darwin;Coonawarra (NT);2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;Fannie Bay;2016;Northern Territory;;Japanese;;4.0;0.0;4.0;0.0;4.0
Darwin;Fannie Bay;2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;8.0;0.0;8.0;0.0;8.0
Darwin;Jingili;2016;Northern Territory;Indo-Aryan languages;Hindi;;4.0;0.0;4.0;0.0;4.0
Darwin;Jingili;2016;Northern Territory;;Tamil;;8.0;0.0;8.0;0.0;8.0
Darwin;Karama;2016;Northern Territory;;Other(f);;170.0;47.0;217.0;8.0;221.0
Darwin;Larrakeyah;2016;Northern Territory;;Speaks English only;2442.0;;;;;2442.0
Darwin;Larrakeyah;2016;Northern Territory;Southeast Asian Austronesian languages;Other(e);;9.0;0.0;9.0;0.0;9.0
Darwin;Ludmilla;2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;30.0;0.0;28.0;0.0;28.0
Darwin;Lyons (NT);2016;Northern Territory;Chinese languages;Cantonese;;15.0;0.0;16.0;0.0;17.0
Darwin;Lyons (NT);2016;Northern Territory;Indo-Aryan languages;Bengali;;28.0;0.0;28.0;0.0;28.0
