animal_breed;offence;infringment_date;suburb_name
Wolfhound;Dog at Large;2018-07;MUIRHEAD
Mixed Breed;Dog at Large;2018-07;COCONUT GROVE
Staffordshire Bull Terrier;Fail To Contain Dog;2018-07;ANULA
Staffordshire Bull Terrier;Dog at Large;2018-07;ANULA
Shar Pei;Dog at Large;2018-07;LEANYER
German Shepherd Dog;Dog at Large;2018-10;MOIL
Mixed Breed;Dog at Large;2018-05;DARWIN
Red Heeler;Unregistered Dog;2018-08;LEANYER
Kelpie;Fail To Contain Dog;2018-10;MILLNER
Rottweiler;Dog at Large;2018-08;BRINKIN
Jack Russell Terrier;Fail To Contain Dog;2018-08;JINGILI
Mixed Breed;Dog at Large;2018-08;KARAMA
Bull Arab;Dog at Large;2018-08;KARAMA
Pit Bull Terrier;Dog at Large;2018-08;KARAMA
Beagle;Dog at Large;2018-08;MALAK
Kelpie;Dog at Large;2018-08;ALAWA
Kelpie;Dog at Large;2018-08;MOIL
Pit Bull Terrier;Dog at Large;2018-09;RAPID CREEK
Labradoodle;Dog at Large;2018-10;NIGHTCLIFF
Poodle;Dog at Large;2018-10;NIGHTCLIFF
Maltese;Dog at Large;2018-10;LYONS
Maltese;Abandon Dog;2018-10;LYONS
Staffordshire Bull Terrier;Dog at Large;2018-10;PARAP
Bull Arab;Dog at Large;2018-10;KARAMA
Pomeranian;Dog at Large;2018-10;WULAGI
English Staffordshire Bull Terrier;Dog at Large;2018-10;LYONS
Jack Russell Terrier;Dog at Large;2018-10;RAPID CREEK
Dachshund;Dog at Large;2018-10;DARWIN
Bull Arab;Dog Attack Level 1;2018-04;LEANYER
Bull Arab;Dog Attack Level 2;2018-06;WULAGI
Staffordshire Bull Terrier;Dog at Large;2018-06;WANGURI
Bullmastiff;Fail To Contain Dog;2018-06;MOIL
Staffordshire Bull Terrier;Fail To Comply - Conditions Registration;2018-07;JINGILI
German Shepherd Dog;Dog at Large;2018-10;COCONUT GROVE
German Shepherd Dog;Fail To Contain Dog;2018-10;COCONUT GROVE
Jack Russell Terrier;Dog at Large;2018-10;WAGAMAN
Staffordshire Bull Terrier;Dog at Large;2018-01;LEANYER
Pit Bull Terrier;Dog at Large;2018-02;MALAK
Mixed Breed;Dog at Large;2018-02;WULAGI
Australian Bulldog;Fail To Contain Dog;2018-02;MILLNER
Heeler;Dog Attack Level 1;2018-01;STUART PARK
Jack Russell Terrier;Dog at Large;2018-06;KARAMA
Bull Arab;Dog at Large;2018-06;MOIL
Mixed Breed;Fail To Contain Dog;2018-06;STUART PARK
Vizsla;Dog at Large;2018-07;ALAWA
Labrador;Dog at Large;2018-10;LYONS
American Staffordshire Terrier;Dog at Large;2018-10;MILLNER
American Staffordshire Terrier;Dog at Large;2018-07;ANULA
Maltese;Dog at Large;2018-07;ANULA
Staffordshire Bull Terrier;Dog at Large;2018-07;MALAK
Bullmastiff;Dog at Large;2018-07;MOIL
Wolfhound;Dog at Large;2018-09;WULAGI
Beagle;Dog at Large;2018-09;MUIRHEAD
Mixed Breed;Dog at Large;2018-09;MUIRHEAD
Maltese;Dog at Large;2018-02;WULAGI
Staffordshire Bull Terrier;Dog at Large;2018-03;KARAMA
Dachshund;Dog at Large;2018-03;KARAMA
Jack Russell Terrier;Dog at Large;2018-09;JINGILI
Mixed Breed;Dog at Large;2018-09;WULAGI
Labrador;Dog at Large;2018-09;KARAMA
Great Dane;Dog at Large;2018-09;MILLNER
Labrador;Dog at Large;2018-09;KARAMA
Maltese;Dog at Large;2018-08;STUART PARK
Staffordshire Bull Terrier;Dog at Large;2018-08;LARRAKEYAH BARRACKS
Staffordshire Bull Terrier;Dog at Large;2018-08;KARAMA
Staffordshire Bull Terrier;Dog at Large;2018-08;ANULA
Husky;Dog at Large;2018-08;MILLNER
Labrador;Dog at Large;2018-06;TIWI
American Staffordshire Terrier;Dog at Large;2018-07;LEANYER
Pomeranian;Dog at Large;2018-07;KARAMA
Pit Bull Terrier;Dog at Large;2018-08;LEE POINT
Bullmastiff;Dog at Large;2018-07;RAPID CREEK
Bull Arab;Dog at Large;2018-01;LEANYER
Shih Tzu;Dog at Large;2018-01;LEANYER
Staffordshire Bull Terrier;Dog at Large;2018-01;ALAWA
Beagle;Dog at Large;2018-07;ANULA
Bullmastiff;Dog Attack Level 2;2018-04;KARAMA
Bullmastiff;Dog at Large;2018-04;KARAMA
Bull Terrier;Dog Attack Level 1;2018-03;NAKARA
Jack Russell Terrier;Dog Attack Level 1;2018-01;ANULA
Staffordshire Bull Terrier;Dog at Large;2018-01;KARAMA
Staffordshire Bull Terrier;Dog Attack Level 2;2018-01;KARAMA
Bull Arab;Dog at Large;2018-01;MILLNER
Dachshund;Dog at Large;2018-04;DARWIN
Staffordshire Bull Terrier;Dog Attack Level 1;2018-10;THE GARDENS
Great Dane;Fail To Contain Dog;2018-11;MALAK
Jack Russell Terrier;Dog at Large;2018-11;STUART PARK
Mixed Breed;Dog at Large;2018-11;KARAMA
Great Dane;Dog at Large;2018-12;KARAMA
American Staffordshire Terrier;Dog at Large;2018-12;NAKARA
Staffordshire Bull Terrier;Dog at Large;2019-02;KARAMA
Labrador;Fail To Respond - Notice Of Impoundment;2019-02;MARRARA
Staffordshire Bull Terrier;Fail To Contain Dog;2019-02;LARRAKEYAH
Mixed Breed;Dog at Large;2019-02;NAKARA
Bull Arab;Dog at Large;2019-02;MALAK
Bull Arab;Dog at Large;2019-02;DURACK
Kelpie;Dog at Large;2019-03;KARAMA
Jack Russell Terrier;Dog at Large;2019-03;MALAK
Bull Arab;Fail To Contain Dog;2019-03;COCONUT GROVE
Dingo;Unregistered Dog;2018-05;TIWI
Mixed Breed;Dog at Large;2018-05;LEANYER
Mixed Breed;Unregistered Dog;2018-04;KARAMA
Wolfhound;Unregistered Dog;2018-04;WULAGI
Jack Russell Terrier;Fail To Contain Dog;2018-04;TIWI
Mixed Breed;Dog at Large;2019-01;KARAMA
Bull Arab;Fail To Contain Dog;2018-12;NAKARA
American Staffordshire Terrier;Fail To Contain Dog;2018-12;NAKARA
