year;rank;bird_species;count;reporting_rate
2019;1;Red-collared Lorikeet;4320;0.085416667
2019;2;Bar-shouldered Dove;1416;0.197740113
2019;5;Black Kite;1182;0.285109983
2019;6;Masked Lapwing;983;0.227873856
2019;11;Varied Lorikeet;533;0.09380863
2019;12;Sulphur-crested Cockatoo;516;0.337209302
2019;14;Little Friarbird;446;0.378923767
2019;19;Red-winged Parrot;320;0.28125
2019;20;Orange-footed Scrubfowl;301;0.528239203
2019;24;Galah;212;0.169811321
2019;27;Red Knot;141;0.007092199
2019;31;Helmeted Friarbird;126;0.380952381
2019;34;Dusky Honeyeater;95;0.494736842
2019;35;Olive-backed Oriole;84;0.428571429
2019;41;Red-headed Honeyeater;70;0.414285714
2019;42;Rainbow Bee-eater;65;0.430769231
2019;48;Red-capped Plover;45;0.022222222
2019;50;Crimson Finch;42;0.404761905
2019;56;Rufous-throated Honeyeater;33;0.333333333
2019;58;Black-faced Cuckoo-shrike;29;0.655172414
2019;65;Common Bronzewing;22;0.363636364
2019;68;Forest Kingfisher;21;0.714285714
2019;69;Grey-crowned Babbler;20;0.3
2019;70;Grey Fantail;20;0.2
2019;77;Masked Finch;14;0.357142857
2019;78;Willie Wagtail;13;0.230769231
2019;80;Yellow-tinted Honeyeater;13;0.384615385
2019;87;Great Bowerbird;10;0.7
2019;89;Australian Magpie;10;0.5
2019;92;Black Falcon;9;0.555555556
2019;93;Partridge Pigeon;9;0.222222222
2019;96;Flock Bronzewing;8;0.375
2019;98;Brown Songlark;8;0.5
2019;99;Pheasant Coucal;8;1.0
2019;105;Striated Pardalote;7;0.428571429
2019;109;Square-tailed Kite;6;0.833333333
2019;115;White-bellied Sea-Eagle;5;1.0
2019;117;Marsh Sandpiper;5;0.4
2019;127;Hooded Robin;4;0.25
2019;129;Red-kneed Dotterel;4;0.5
2019;132;Caspian Tern;4;0.5
2019;135;Intermediate Egret;3;0.666666667
2019;137;White-faced Heron;3;1.0
2019;138;Eastern Reef Egret;3;0.666666667
2019;142;Grey Goshawk;3;0.666666667
2019;144;Black-breasted Buzzard;3;0.333333333
2019;146;Rufous Whistler;2;1.0
2019;148;Nankeen Kestrel;2;1.0
2019;149;Whiskered Tern;2;0.5
2019;151;Beach Stone-curlew;2;1.0
2019;156;Australian Pratincole;2;0.5
2019;158;Black Bittern;2;0.5
2019;159;Scarlet Honeyeater;2;0.5
2019;160;Little Egret;2;1.0
2019;161;Chestnut Rail;2;1.0
2019;162;Domestic Duck;2;1.0
2019;164;Australian Reed-Warbler;2;0.5
2019;165;Common Greenshank;2;1.0
2019;171;Horsfield's Bushlark;1;1.0
2019;172;Great Egret;1;1.0
2019;175;Australian Pelican;1;1.0
2019;178;Barn Owl;1;1.0
2019;182;Mangrove Gerygone;1;1.0
2019;184;Australian Little Bittern;1;1.0
2019;185;Little Pied Cormorant;1;1.0
2019;186;Broad-billed Flycatcher;1;1.0
2020;3;Torresian Imperial-Pigeon;1569;0.3212
2020;7;Brown Honeyeater;1031;0.3346
2020;9;Masked Lapwing;778;0.2866
2020;20;Galah;382;0.1492
2020;26;Straw-necked Ibis;263;0.2852
2020;27;Rufous-banded Honeyeater;230;0.4391
2020;31;White-bellied Cuckoo-shrike;174;0.523
2020;39;Greater Sand Plover;94;0.0106
2020;43;Brahminy Kite;63;0.7143
2020;45;Rock Dove;56;0.2321
2020;47;Red-tailed Black-Cockatoo;50;0.32
2020;49;White-throated Honeyeater;46;0.587
2020;51;Rufous-throated Honeyeater;41;0.3415
2020;53;Forest Kingfisher;36;0.7222
2020;56;Brown Goshawk;33;0.8485
2020;60;Eastern Koel;29;0.8966
2020;61;Torresian Crow;27;0.5185
2020;64;Green-backed Gerygone;24;0.75
2020;65;Black Butcherbird;23;0.7826
2020;69;Rufous Whistler;18;0.3333
2020;70;White-bellied Sea-Eagle;17;0.7059
2020;78;Striated Heron;14;0.4286
2020;79;Restless Flycatcher;13;0.6154
2020;86;Grey-crowned Babbler;10;0.7
2020;88;Glossy Ibis;10;0.3
2020;91;Striated Pardalote;8;0.75
2020;93;Osprey;8;1.0
2020;94;Yellow-throated Miner;8;0.375
2020;95;Leaden Flycatcher;8;1.0
2020;98;Grey Whistler;7;0.7143
2020;104;Australasian Darter;7;0.7143
2020;107;Collared Sparrowhawk;6;0.8333
2020;109;Little Shrike-thrush;6;0.8333
2020;110;Little Tern;6;0.6667
2020;112;Little Egret;5;0.6
2020;115;Azure Kingfisher;5;0.6
2020;118;Mangrove Gerygone;4;0.5
2020;120;Mangrove Golden Whistler;4;0.75
2020;122;Caspian Tern;4;0.75
2020;127;Brown-capped Emerald-Dove;3;0.6667
2020;131;Wedge-tailed Eagle;3;1.0
2020;132;Tawny Frogmouth;3;0.3333
