animal_name;animal_sex;animal_type;animal_neut;main_breed;second_breed;main_color;second_color;suburb_name
Beatrice;F;Dog;Y;Maltese;Shih Tzu;Black;White;LARRAKEYAH
Raphael;M;Dog;Y;Terrier;Cross Breed;Tan;Black;MALAK
Banjo;M;Dog;Y;Maltese;Shih Tzu;Black;Brown;BAYVIEW
Dash;M;Dog;Y;Beagle;;Tri Colour;;FANNIE BAY
Baxter;M;Dog;Y;Maltese;Poodle (Miniature);White;;PARAP
Sooty;M;Cat;Y;Domestic Short Haired;;Black;;PARAP
Dakoda;F;Dog;Y;Cross Breed;;Tan;Black;TIWI
Bandit;M;Dog;Y;Maltese;Shih Tzu;White;Black;MALAK
Xena;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;BRINKIN
Mr Grey;M;Cat;Y;Domestic Short Haired;;Grey;;NIGHTCLIFF
Flash;M;Cat;Y;Domestic Long Haired;;Black;White;NIGHTCLIFF
Bonita;F;Dog;Y;Border Collie;;Black;White;COCONUT GROVE
Sahara;F;Dog;Y;Heeler;Mixed Breed;Red;Roan;MALAK
Midnight;F;Dog;Y;Mixed Breed;;Black;White;BAYVIEW
Lee;M;Dog;Y;Tenterfield Terrier;;Tri Colour;;RAPID CREEK
Moe;F;Dog;Y;Staffordshire Bull Terrier;Beagle;Tan;;WULAGI
Toby;M;Cat;Y;Domestic Short Haired;;Ginger;Tabby;MILLNER
Jack;M;Cat;Y;Domestic Short Haired;;Black;;LEANYER
Rasta;M;Dog;Y;Terrier;Cross Breed;White;Tan;ALAWA
Ali;M;Cat;Y;Tabby;;Grey;;LUDMILLA
Skye;F;Dog;Y;West Highland White Terrier;;White;;ANULA
Pancho;M;Dog;Y;Shih Tzu;;Tri Colour;;MALAK
Jackie;F;Dog;Y;Jack Russell Terrier;;Brown;White;TIWI
Tessa;F;Dog;Y;Cavalier King Charles Spaniel;;Black;White;TIWI
Nalo;F;Cat;Y;Domestic Short Haired;;Tabby;;RAPID CREEK
Rosie;F;Cat;Y;Domestic Short Haired;;Tortiseshell;;LEANYER
Dexter;M;Dog;Y;Terrier;Cross Breed;White;Brown;TIWI
Digby;M;Cat;Y;Domestic Short Haired;;Black;White;LEANYER
Raven;F;Cat;Y;Domestic Short Haired;;Black;;ANULA
Bella;F;Dog;N;Shih Tzu;Cross Breed;Grey;;PARAP
Bonsai;M;Cat;Y;Tonkinese;;Cream;Chocolate;MILLNER
Sam;M;Cat;Y;Manx;;Black;;FANNIE BAY
Ziggy;F;Dog;Y;Cavoodle;;Grey;;BERRIMAH
Gizmo;F;Dog;Y;Chihuahua;Pomeranian;Tan;;JINGILI
Asami;F;Cat;Y;Domestic Short Haired;;Black;;LEANYER
Rosie;F;Cat;Y;Domestic Short Haired;;Grey;;PARAP
Miss Mousie;F;Cat;Y;Russian Blue;;Blue;;MILLNER
Tojo;M;Dog;Y;Maltese;Shih Tzu;White;;STUART PARK
Mindil;F;Dog;Y;Australian Bulldog;;White;Tan;FANNIE BAY
Scully;F;Dog;Y;Mixed Breed;;Black;Tan;TIWI
Pup Pup;M;Dog;Y;Mixed Breed;;Brown;;ALAWA
Socks;M;Dog;Y;Rhodesian Ridgeback;Cross Breed;Black;White;MUIRHEAD
Davo;M;Cat;Y;Domestic Short Haired;;Black;;JINGILI
Nevile;M;Dog;Y;Koolie;Cross Breed;Harlequin;;FANNIE BAY
Blondie;F;Dog;Y;Border Collie;;Champagne;White;NIGHTCLIFF
Molly;F;Dog;Y;Mixed Breed;;Brindle;;ANULA
Nipper;M;Dog;Y;Cross Breed;;Brindle;;TIWI
Cassie;F;Dog;Y;Bullmastiff;Staffordshire Bull Terrier;Black;White;MOIL
Jellise;F;Cat;Y;Domestic Short Haired;;Black;;MALAK
Peanut;M;Dog;Y;Shih Tzu;Maltese;Black;White;MALAK
Goose;F;Dog;Y;Irish Wolfhound;Bullmastiff;Black;White;WULAGI
Mali;F;Dog;Y;Border Collie;;White;Brown;RAPID CREEK
Lulu;F;Dog;Y;Fox Terrier;Cross Breed;White;;STUART PARK
Lulu;F;Cat;Y;Domestic Short Haired;;Grey;;JINGILI
Starlight;F;Dog;Y;Labrador;;Black;;LUDMILLA
Wicket;F;Dog;Y;Australian Cattle Dog;Heeler;Red;;STUART PARK
Phoebe;F;Dog;Y;Maltese;Cross Breed;Black;;ANULA
Adelaide;F;Dog;Y;German Short Haired Pointer;;Liver;;LUDMILLA
Molly;F;Dog;Y;Maltese;Cross Breed;White;Tan;WANGURI
Wally;M;Cat;Y;Burmese;;Brown;;LUDMILLA
Touley;M;Dog;Y;Shih Tzu;Cross Breed;White;;NAKARA
Tutu;F;Dog;Y;Basenji;;Red;White;ANULA
Haitchi;M;Dog;Y;Jack Russell Terrier;;Tan;;WANGURI
Lachlan;M;Dog;Y;West Highland White Terrier;;White;;BAYVIEW
Libby;F;Dog;Y;Red Heeler;;Brown;;KARAMA
Zoey;F;Dog;Y;Staghound;;Tan;;MILLNER
Indie;F;Dog;Y;Heeler;Cross Breed;Blue;Red;Millner
Alfie;F;Dog;Y;Cavoodle;;Sandy;;LUDMILLA
Meha;F;Dog;Y;German Short Haired Pointer;;Liver;;LEANYER
Tinker;F;Dog;Y;Maltese;Poodle;White;Apricot;KARAMA
Yang-Yang;M;Dog;Y;Poodle;Cross Breed;Brown;White;TIWI
Molly;F;Dog;Y;Boxer;;Tan;White;LEANYER
Milo;M;Dog;Y;Labrador;;Chocolate;;MOIL
Cleary;F;Dog;Y;Kelpie;Cross Breed;Grey;Black;WULAGI
Harper;F;Cat;Y;Domestic Short Haired;;Black;White;MALAK
Ciller;F;Dog;Y;Corgi;Dachshund;Black;White;MILLNER
Sam;F;Dog;Y;Labrador Retriever;;Black;;JINGILI
Simpson;M;Dog;Y;Blue Heeler;;Blue;Grey;NAKARA
Jed;M;Dog;Y;Fox Terrier (Miniature);;Tan;White;WANGURI
Joany;F;Dog;Y;Greyhound;;White;;WAGAMAN
Trixie;F;Dog;Y;Shih Tzu;Maltese;White;Brown;WULAGI
Yogi;M;Dog;Y;Blue Heeler;;Blue;Tan;MOIL
Snowy;F;Dog;Y;Border Collie;Cross Breed;White;Black;KARAMA
Elsie;F;Dog;Y;Rhodesian Ridgeback;;Wheaten;;KARAMA
Little Girl;F;Dog;N;Chihuahua;;Tan;White;KARAMA
Keely;F;Dog;Y;West Highland White Terrier;;White;;ANULA
Roxanne;F;Dog;Y;Staffordshire Bull Terrier;;Brindle;;ANULA
Layla;F;Dog;Y;Cocker Spaniel;;Blue;Roan;LUDMILLA
Maggie;F;Dog;N;Maltese;Shih Tzu;White;Black;MOIL
Jersey;F;Dog;Y;Dalmatian;Border Collie;Black;White;KARAMA
Flynn;M;Dog;Y;Border Collie;;Black;White;ALAWA
Zorro;M;Dog;Y;Blue Heeler;;Blue;Black;NAKARA
Winchester;M;Dog;N;Cocker Spaniel;;Black;White;BAYVIEW
Lucky;U;Dog;Y;Jack Russell Terrier;Cross Breed;Brown;White;MALAK
Rebel;M;Dog;N;Blue Heeler;;Blue;;LYONS
Levi;M;Cat;Y;Domestic Short Haired;;Black;;KARAMA
Digger;M;Dog;Y;Border Collie;;Black;White;RAPID CREEK
Spoty;M;Cat;Y;Tabby;Domestic Short Haired;Grey;;FANNIE BAY
Araya;F;Dog;Y;English Setter;;Blue;White;LARRAKEYAH
Charlie;M;Cat;Y;Domestic Short Haired;;Black;Tabby;NAKARA
Sammie;F;Dog;Y;Maltese;Shih Tzu;White;Ginger;WANGURI
Mishca;F;Cat;Y;Domestic Short Haired;;Tabby;;ANULA
Henry;M;Dog;Y;Cocker Spaniel;Labrador;Black;;ALAWA
Miffy;F;Dog;Y;Maltese;Shih Tzu;White;Brown;TIWI
Jackie;F;Dog;Y;Jack Russell Terrier;;White;Tan;STUART PARK
Dexter;M;Dog;Y;Maltese;Shih Tzu;White;;LEANYER
Bruce;M;Dog;Y;Staghound;Cross Breed;Black;White;RAPID CREEK
Bindi;F;Dog;Y;English Staffordshire Bull Terrier;;Black;;ANULA
Marlee;F;Dog;Y;Golden Retriever;;Gold;;LUDMILLA
Coco;F;Dog;Y;Beagle;;Tri Colour;;KARAMA
Lucky;M;Dog;Y;Maltese;Shih Tzu;Cream;;JINGILI
Indy;M;Dog;Y;Rhodesian Ridgeback;Cross Breed;White;;WANGURI
Ziggy;M;Cat;Y;Domestic Short Haired;;Black;;STUART PARK
Rodin;F;Cat;Y;Domestic Medium Hair;;Grey;;STUART PARK
Buddy;M;Dog;Y;Dutch Shepherd;;Brindle;;WANGURI
Bella;F;Dog;Y;Cavalier King Charles Spaniel;Cocker Spaniel;White;Tan;MOIL
Zorro;M;Dog;Y;Jack Russell Terrier;Pomeranian;Tan;Black;NAKARA
Kirra;F;Dog;Y;Pit Bull Terrier;Cross Breed;Tan;;COCONUT GROVE
Patchy;F;Dog;Y;Mixed Breed;;White;Tan;TIWI
Louis Vuitton;M;Cat;Y;Domestic Short Haired;;Tabby;;LARRAKEYAH
Indi-Rae;F;Dog;Y;Australian Cattle Dog;;Red;;LEANYER
Mimi;F;Cat;Y;Domestic Short Haired;;White;Grey;MOIL
Roxy;U;Cat;Y;Domestic Medium Hair;;Tabby;;KARAMA
Dexter;M;Dog;Y;Bichon Frise;Poodle;White;;LEANYER
Miyuki;F;Dog;Y;Akita;;White;;ANULA
Grot;M;Dog;Y;Staffordshire Bull Terrier;;Tri Colour;;ANULA
Wonka;M;Cat;Y;Domestic Short Haired;;Grey;Tabby;BRINKIN
Peppi;F;Dog;Y;Jack Russell Terrier;;Tan;White;THE NARROWS
Hello Welcome;M;Cat;Y;Domestic Short Haired;;Black;Grey;LEANYER
Nellie;F;Dog;Y;Shih Tzu;Maltese;Black;White;PARAP
Pretty;F;Dog;Y;Mixed Breed;;Tan;;ALAWA
Kenzie;F;Dog;Y;Border Collie;;Chocolate;White;COCONUT GROVE
Millie;F;Dog;N;Retriever;;White;;PARAP
Spike;M;Dog;N;Bull Arab;Wolfhound;Black;White;KARAMA
Tyza;F;Dog;Y;Mixed Breed;;Black;Tan;WULAGI
MILLIE;F;Dog;Y;Rhodesian Ridgeback;;Tan;;NIGHTCLIFF
Bane;M;Dog;Y;Mixed Breed;;Tan;;LEANYER
Mika;F;Dog;Y;Mixed Breed;;Sable;;MILLNER
Vicky;F;Dog;Y;Maltese;Terrier;Fawn;;KARAMA
Jeannie;F;Dog;Y;Greyhound;;Brown;;MUIRHEAD
Tayla;F;Dog;Y;Staffordshire Bull Terrier;Cross Breed;Amber;;LEANYER
Pippa;F;Cat;Y;Burmese;;Chocolate;;LUDMILLA
Archer;M;Dog;Y;Staffordshire Bull Terrier;;Brindle;White;LEANYER
Mitzy;F;Dog;Y;Border Collie;;Black;White;WAGAMAN
Rocky;M;Dog;Y;Great Dane;American Staffordshire Terrier;Blue;Grey;KARAMA
Blade;M;Dog;Y;Shar Pei;Bull Arab;Brown;;ALAWA
Jess;F;Dog;Y;American Staffordshire Terrier;;Chocolate;White;LEANYER
Emilia (Nickname is Millie);F;Dog;Y;Cocker Spaniel;Shih Tzu;Black;White;PARAP
Jessie;F;Dog;Y;Fox Terrier;Chihuahua;Black;White;WAGAMAN
Benji;M;Dog;Y;Fox Terrier;Jack Russell Terrier;Black;White;WAGAMAN
Lizzie;F;Dog;Y;Labrador;Golden Retriever;Gold;;MILLNER
Charlie;F;Dog;Y;Labrador;;Chocolate;;BAYVIEW
Dolly;F;Dog;Y;German Shepherd Dog;;Gold;Black;FANNIE BAY
Buddy;M;Dog;Y;Maltese;;White;;KARAMA
Noddy;M;Dog;Y;Jack Russell Terrier;Cross Breed;Tan;White;WULAGI
Bomber;F;Dog;Y;Pug;;Black;;TIWI
Bandit;M;Dog;N;Blue Heeler;;Blue;;LEANYER
Clayton;M;Dog;Y;Toy Poodle;Cross Breed;Black;;LEANYER
Tura;F;Dog;Y;Bull Arab;Cross Breed;Black;White;KARAMA
