meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2019-07-16;Action Reports;Submission to the draft Local Government Bill consultation;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-07-16;Action Reports;Access and Inclusion Advisory Committee Meeting Minutes 2 July 2019;Community;Action Required
Ordinary Council;2019-07-16;Receive and Note Reports;Confirmation of executive committee meeting minutes - 2018;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-07-16;Receive and Note Reports;Incoming Correspondence from the Member for Sanderson - Velodrome Upgrade;Community;Receive & Note
Ordinary Council;2019-07-30;Receive and Note Reports;Quarterly On Street - Off Street parking statistics - April to June 2019;Innovation;Receive & Note
Ordinary Council;2019-08-27;Action Reports;Review of Policy No.065 Sponsorship;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-08-27;Action Reports;Gardens Park Lake Rehabilitation Works;Engineering & City Services;Action Required
Ordinary Council;2019-08-27;Action Reports;Cat Management Approach- Lee Point;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Concept Brief: THRIVE Public Art Projects 2019-2023;Community;Action Required
Ordinary Council;2019-08-27;Receive and Note Reports;Public Lighting - Maintenance Service Performance;Innovation;Receive & Note
Ordinary Council;2019-09-24;Action Reports;Reaching South Program;Innovation;Action Required
Ordinary Council;2019-09-24;Action Reports;Appointment of Elected Members to the Development Consent Authority Advisory Committee;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-09-24;Action Reports;Review of Investment Policy No. 24;Corporate;Action Required
Ordinary Council;2019-09-24;Receive and Note Reports;MONTHLY FINANCIAL REPORT - AUGUST 2019;Corporate;Receive & Note
Ordinary Council;2019-09-24;Receive and Note Reports;Municipal Plan 2019/20 - Monthly Performance Report August 2019;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-10-15;Action Reports;Appointment of Elected Members to the Development Consent Authority Advisory Committee;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-15;Receive and Note Reports;Minutes of the Risk Management & Audit Committee Meeting held on 30 August 2019;Corporate;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;MONTHLY FINANCIAL REPORT - AUGUST 2019;Corporate;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;Invitation to join Arafura Games 2021 Advisory Committee;Innovation;Receive & Note
Ordinary Council;2019-10-15;Receive and Note Reports;Minutes of the Bombing of Darwin and Military History Advisory Committee 14 August 2019;Community;Receive & Note
Ordinary Council;2019-10-29;Action Reports;Darwin Cenotaph Renewal;Engineering & City Services;Action Required
Ordinary Council;2019-12-11;Action Reports;Black Spot Program 2020/2021 Nominations;Engineering & City Services;Action Required
Ordinary Council;2019-12-11;Action Reports;Bombing of Darwin and Military History Advisory Committee Minutes - Bicentennial Park Area 1;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-12-11;Action Reports;2018/19 City of Darwin Annual Report;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-12-11;Receive and Note Reports;Minister’s Advisory Council on Multicultural Affairs Resolution;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-12-11;Receive and Note Reports;Minutes of Youth Advisory Committee - 24 October 2019;Community;Receive & Note
Ordinary Council;2019-12-11;Receive and Note Reports;Quarterly On Street - Off Street parking statistics - July to September 2019;Innovation;Receive & Note
Ordinary Council;2019-11-26;Action Reports;Proposal for No Dog Signage at Playgrounds;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;Community Grants Program Round 2 - 2019/20;Community;Action Required
Ordinary Council;2019-11-26;Action Reports;Stage 3 Planning Reform;Innovation;Action Required
Ordinary Council;2019-11-26;Action Reports;Appointment of Elected Member to the Reconciliation Action Plan Working Group;Community;Action Required
Ordinary Council;2019-11-26;Receive and Note Reports;2019 Monthly Financial Report - October 2019 Monthly;Corporate;Receive & Note
Ordinary Council;2019-10-12;Notices of Motion;Notice of Motion - Tree Planting Priorities;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2019-10-12;Action Reports;Traffic Study and Road Safety Audit in Response to Velodrome Precinct Proposals;Engineering & City Services;Action Required
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - Lot 6907 & 6908 (25 & 16) Blake Street, The Gardens, from Zone CP (Community Purpose) to Zone SU (Specific Use Zone);Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;Planning Scheme Amendment - Lot 9077 (47) Progress Drive, Nightcliff - Rezoning from Zone MR (Medium Density Residential) to a Specific Use Zone;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;2019/20 Constitutional Arrangements Review (Electoral Representation Review - S23 Local Government Act);Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-12;Action Reports;Licensed Outdoor Dining Fees;Innovation;Action Required
Ordinary Council;2019-10-12;Action Reports;By-Election Lyons Ward - 29 February 2020;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-10-12;Receive and Note Reports;Minutes of the Risk Management and Audit Committee Meeting Held 29 October 2019;Corporate;Receive & Note
Ordinary Council;2019-10-12;Receive and Note Reports;Jingili Regional Playground Consultation Report;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-10-12;Information Item;Incoming Correspondence;Office of the Lord Mayor and CEO;Information Item
