ward;councillor_name;expense_type;fy_year;amount
Chan Ward;Councillor - Peter Pangquee;Allowance - Extra Meetings;2022;15010.25
Chan Ward;Councillor - Ed Smelt;Allowance - IT Hardware/Software;2024;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Prof Development;2023;2200.0
Chan Ward;Councillor - Peter Pangquee;Allowance - IT Hardware/Software;2026;3776.57
Chan Ward;Councillor - Peter Pangquee;Deductions;2023;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Acting LM (Alderman);2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Extra Meetings;2022;7000.0
Chan Ward;Councillor - Ed Smelt;Allowance - Acting LM (Deputy);2023;0.0
Chan Ward;Councillor - Peter Pangquee;Deductions;2025;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Communication/Internet;2024;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Prof Development;2025;2903.54
Chan Ward;Councillor - Ed Smelt;Allowance - IT Hardware/Software;2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Prof Development;2023;3654.21
Chan Ward;Councillor - Peter Pangquee;Reimbursements;2024;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Prof Development;2024;2886.58
Chan Ward;Councillor - Ed Smelt;Additional allowance;2026;1991.88
Chan Ward;Councillor - Ed Smelt;Reimbursements;2024;0.0
Chan Ward;Councillor - Peter Pangquee;Additional allowance;2022;8238.36
Chan Ward;Councillor - Ed Smelt;Councillor’s allowance;2025;31775.0
Chan Ward;Councillor -Julie Fraser;Allowance - Extra Meetings;2026;4200.0
Chan Ward;Councillor -Julie Fraser;Allowance - IT Hardware/Software;2026;3776.57
Chan Ward;Councillor - Peter Pangquee;Travel Allowance Councillor;2025;1000.0
Lord Mayor;Lord Mayor - Peter Styles;Allowance - IT Hardware/Software;2026;3776.57
Lord Mayor;Lord Mayor - Peter Styles;Allowance - Prof Development;2026;489.25
Lord Mayor;Lord Mayor - Kon Vatskalis;Deductions;2025;0.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Councillor’s allowance;2023;125192.75
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - Communication/Internet;2024;100.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Additional allowance;2026;25158.88
Lord Mayor;Lord Mayor - Kon Vatskalis;Councillor’s allowance;2024;30999.96
Lord Mayor;Lord Mayor - Kon Vatskalis;Councillor’s allowance;2026;6284.89
Lord Mayor;Lord Mayor - Kon Vatskalis;Reimbursements;2023;0.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - Communication/Internet;2022;1497.89
Lord Mayor;Lord Mayor - Kon Vatskalis;Vehicle Allowance LM;2024;22294.51
Lyons Ward;Councillor - Mick Palmer;Councillor’s allowance;2026;22045.92
Lyons Ward;Councillor - Mick Palmer;Allowance - IT Hardware/Software;2023;0.0
Lyons Ward;Councillor - Mick Palmer;Reimbursements;2023;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Prof Development;2023;2200.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Extra Meetings;2023;7500.0
Lyons Ward;Councillor - Mick Palmer;Additional allowance;2022;8238.36
Lyons Ward;Councillor - Mick Palmer;Councillor’s allowance;2022;22516.85
Lyons Ward;Councillor - Mick Palmer;Councillor’s allowance;2024;28417.0
Lyons Ward;Councillor - Mick Palmer;Councillor’s allowance;2023;22515.39
Lyons Ward;Councillor - Mick Palmer;Allowance - Prof Development;2024;0.0
Lyons Ward;Councillor - Sam Weston;Councillor’s allowance;2025;31775.0
Lyons Ward;Councillor - Sam Weston;Allowance - Deputy Mayor;2024;7890.41
Lyons Ward;Councillor - Sam Weston;Councillor’s allowance;2024;24350.97
Lyons Ward;Councillor - Sam Weston;Allowance - IT Hardware/Software;2026;3776.57
Richardson Ward;Councillor - Jimmy Bouhoris;Reimbursements;2023;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Additional allowance;2023;8238.34
Richardson Ward;Councillor - Jimmy Bouhoris;Councillor’s allowance;2025;31775.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Extra Meetings;2026;4900.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Acting LM (Deputy);2023;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Communication/Internet;2023;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Acting LM (Deputy);2024;0.0
Richardson Ward;Councillor - Shani Carson;Allowance - IT Hardware/Software;2026;3776.57
Richardson Ward;Councillor - Edwin Joseph;Allowance - Prof Development;2026;1909.25
Richardson Ward;Councillor - Edwin Joseph;Councillor’s allowance;2026;15761.03
Waters Ward;Councillor - Sylvia Klonaris;Additional allowance;2023;8238.34
Waters Ward;Councillor - Kim Farrar;Allowance - Deputy Mayor;2023;10653.72
Waters Ward;Councillor - Kim Farrar;Allowance - Prof Development;2024;2864.85
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Extra Meetings;2024;8000.0
Waters Ward;Councillor - Kim Farrar;Allowance - Extra Meetings;2023;2750.0
Waters Ward;Councillor - Kim Farrar;Allowance - Extra Meetings;2024;7600.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Acting LM (Deputy);2024;10454.7
Waters Ward;Councillor - Kim Farrar;Allowance - Prof Development;2026;3785.0
Waters Ward;Councillor - Sylvia Klonaris;Councillor’s allowance;2024;28417.0
Waters Ward;Councillor - Sylvia Klonaris;Councillor’s allowance;2025;31775.0
Waters Ward;Councillor - Patrik Ralph;Allowance - Deputy Mayor;2026;8020.83
Chan Ward;Councillor - Peter Pangquee;Allowance - IT Hardware/Software;2024;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Deputy Mayor;2023;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Extra Meetings;2024;10000.0
Chan Ward;Councillor - Ed Smelt;Reimbursements;2023;0.0
Chan Ward;Councillor - Ed Smelt;Additional allowance;2023;8238.34
Chan Ward;Councillor - Peter Pangquee;Councillor’s allowance;2026;22045.92
Chan Ward;Councillor - Ed Smelt;Allowance - Deputy Mayor;2026;912.94
Chan Ward;Councillor - Peter Pangquee;Allowance - Acting LM (Deputy);2024;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Acting LM (Deputy);2023;0.0
Chan Ward;Councillor - Peter Pangquee;Councillor’s allowance;2024;31000.0
Chan Ward;Councillor - Ed Smelt;Allowance - Extra Meetings;2024;8600.0
Chan Ward;Councillor - Peter Pangquee;Allowance - IT Hardware/Software;2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Acting LM (Deputy);2024;2439.43
Chan Ward;Councillor - Peter Pangquee;Reimbursements;2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Communication/Internet;2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Extra Meetings;2023;6750.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Extra Meetings;2026;6000.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Communication/Internet;2023;0.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Deputy Mayor;2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Communication/Internet;2024;0.0
Chan Ward;Councillor - Peter Pangquee;Councillor’s allowance;2023;22515.39
Chan Ward;Councillor - Peter Pangquee;Allowance - Extra Meetings;2023;15000.0
Chan Ward;Councillor - Ed Smelt;Additional allowance;2022;6573.75
Chan Ward;Councillor - Ed Smelt;Councillor’s allowance;2023;22515.39
Chan Ward;Councillor - Ed Smelt;Councillor’s allowance;2026;15806.19
Chan Ward;Councillor - Ed Smelt;Councillor’s allowance;2024;28417.0
Chan Ward;Councillor -Julie Fraser;Councillor’s allowance;2026;15761.03
Chan Ward;Councillor - Peter Pangquee;Travel Allowance Councillor;2026;700.0
Lord Mayor;Lord Mayor - Peter Styles;Councillor’s allowance;2026;15761.03
Lord Mayor;Lord Mayor - Kon Vatskalis;Deductions;2024;2705.44
Lord Mayor;Lord Mayor - Kon Vatskalis;Additional allowance;2024;127200.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Additional allowance;2025;106000.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Additional allowance;2023;32950.94
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - IT Hardware/Software;2024;0.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Reimbursements;2024;1494.03
Lord Mayor;Lord Mayor - Kon Vatskalis;Vehicle Allowance LM;2026;4754.56
Lyons Ward;Councillor - Mick Palmer;Allowance - Deputy Mayor;2023;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Deputy Mayor;2026;260.84
Lyons Ward;Councillor - Mick Palmer;Allowance - Extra Meetings;2024;7000.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Extra Meetings;2025;7400.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Deputy Mayor;2025;7825.2
Lyons Ward;Councillor - Mick Palmer;Allowance - Extra Meetings;2026;3700.0
Lyons Ward;Councillor - Mick Palmer;Councillor’s allowance;2025;31775.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Deputy Mayor;2024;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Communication/Internet;2024;0.0
Lyons Ward;Councillor - Mick Palmer;Additional allowance;2024;2583.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Acting LM (Deputy);2023;0.0
Lyons Ward;Councillor - Sam Weston;Allowance - Extra Meetings;2024;6100.0
Lyons Ward;Councillor - Nicole Brown;Allowance - Prof Development;2026;3125.48
Lyons Ward;Councillor - Nicole Brown;Allowance - Extra Meetings;2026;3700.0
Lyons Ward;Councillor - Sam Weston;Allowance - Extra Meetings;2026;4600.0
Lyons Ward;Councillor - Nicole Brown;Allowance - IT Hardware/Software;2026;3776.57
Lyons Ward;Councillor - Sam Weston;Allowance - Deputy Mayor;2025;7955.62
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - IT Hardware/Software;2023;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Extra Meetings;2023;11250.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - IT Hardware/Software;2024;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Communication/Internet;2024;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Extra Meetings;2025;9800.0
Richardson Ward;Councillor - Jimmy Bouhoris;Councillor’s allowance;2024;28417.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Prof Development;2025;3313.25
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Extra Meetings;2024;9600.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Deputy Mayor;2023;3678.07
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Acting LM (Alderman);2024;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Prof Development;2024;4355.42
Richardson Ward;Councillor - Jimmy Bouhoris;Councillor’s allowance;2023;20726.43
Richardson Ward;Councillor - Jimmy Bouhoris;Additional allowance;2022;8238.36
Richardson Ward;Councillor - Jimmy Bouhoris;Additional allowance;2024;2583.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Deputy Mayor;2022;760.98
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Prof Development;2023;3753.17
Richardson Ward;Councillor - Jimmy Bouhoris;Councillor’s allowance;2026;22045.92
Richardson Ward;Councillor - Shani Carson;Councillor’s allowance;2026;13769.15
Richardson Ward;Councillor - Edwin Joseph;Allowance - Extra Meetings;2026;4200.0
Richardson Ward;Councillor - Edwin Joseph;Allowance - IT Hardware/Software;2026;3776.57
Waters Ward;Councillor - Kim Farrar;Additional allowance;2023;6611.98
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Extra Meetings;2026;5000.0
Waters Ward;Councillor - Sylvia Klonaris;Reimbursements;2024;0.0
Waters Ward;Councillor - Kim Farrar;Allowance - Prof Development;2025;1327.62
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Deputy Mayor;2024;0.0
Waters Ward;Councillor - Kim Farrar;Allowance - Communication/Internet;2023;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Deputy Mayor;2023;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Prof Development;2022;3616.9
Waters Ward;Councillor - Sylvia Klonaris;Additional allowance;2022;6573.75
Waters Ward;Councillor - Kim Farrar;Allowance - Acting LM (Deputy);2024;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Extra Meetings;2025;10000.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Acting LM (Alderman);2024;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Acting LM (Deputy);2022;17759.56
Waters Ward;Councillor - Kim Farrar;Allowance - Acting LM (Alderman);2024;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Prof Development;2024;2663.51
Waters Ward;Councillor - Sylvia Klonaris;Allowance - IT Hardware/Software;2024;0.0
Waters Ward;Councillor - Kim Farrar;Allowance - Prof Development;2023;2200.0
Waters Ward;Councillor - Sylvia Klonaris;Reimbursements;2023;0.0
Waters Ward;Councillor - Kim Farrar;Additional allowance;2024;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Acting LM (Deputy);2023;0.0
Waters Ward;Councillor - Kim Farrar;Reimbursements;2023;0.0
Waters Ward;Councillor - Sylvia Klonaris;Councillor’s allowance;2026;19292.09
Waters Ward;Councillor - Sylvia Klonaris;Councillor’s allowance;2023;22515.39
Waters Ward;Councillor - Patrik Ralph;Allowance - Extra Meetings;2026;2600.0
Waters Ward;Councillor - Kim Farrar;Councillor’s allowance;2026;22045.92
Chan Ward;Councillor - Peter Pangquee;Allowance - Extra Meetings;2025;10000.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Deputy Mayor;2024;2151.93
Chan Ward;Councillor - Peter Pangquee;Allowance - Deputy Mayor;2025;5868.9
Chan Ward;Councillor - Ed Smelt;Additional allowance;2024;2583.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Prof Development;2022;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Acting LM (Alderman);2024;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Deputy Mayor;2024;7499.15
Chan Ward;Councillor - Peter Pangquee;Councillor’s allowance;2025;31775.0
Chan Ward;Councillor - Peter Pangquee;Additional allowance;2023;8238.34
Chan Ward;Councillor - Peter Pangquee;Allowance - Prof Development;2024;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Extra Meetings;2025;9600.0
Chan Ward;Councillor - Peter Pangquee;Allowance - Acting LM (Alderman);2024;0.0
Chan Ward;Councillor - Peter Pangquee;Councillor’s allowance;2022;22516.85
Chan Ward;Councillor - Ed Smelt;Allowance - IT Hardware/Software;2026;3776.57
Chan Ward;Councillor - Ed Smelt;Allowance - Acting LM (Alderman);2023;0.0
Chan Ward;Councillor - Ed Smelt;Allowance - Extra Meetings;2026;2500.0
Chan Ward;Councillor - Ed Smelt;Councillor’s allowance;2022;17920.95
Lord Mayor;Lord Mayor - Peter Styles;Vehicle Allowance LM;2026;11923.5
Lord Mayor;Lord Mayor - Peter Styles;Additional allowance;2026;52069.52
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - Communication/Internet;2023;2076.36
Lord Mayor;Lord Mayor - Kon Vatskalis;Deductions;2026;-663.18
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - Prof Development;2023;0.0
Lord Mayor;Lord Mayor - Operational Admin;General Operating Expense;2024;466.69
Lord Mayor;Lord Mayor - Kon Vatskalis;Additional allowance;2022;32951.16
Lord Mayor;Lord Mayor - Kon Vatskalis;Reimbursements;2022;201.84
Lord Mayor;Lord Mayor - Kon Vatskalis;Deductions;2023;-2442.37
Lord Mayor;Lord Mayor - Kon Vatskalis;Councillor’s allowance;2025;52975.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Councillor’s allowance;2022;125192.64
Lord Mayor;Lord Mayor - Kon Vatskalis;Deductions;2022;-6173.61
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - Prof Development;2024;0.0
Lord Mayor;Lord Mayor - Kon Vatskalis;Allowance - IT Hardware/Software;2023;1680.91
Lord Mayor;Lord Mayor - Operational Admin;General Operating Expense;2022;6353.1
Lord Mayor;Lord Mayor - Operational Admin;General Operating Expense;2023;5875.59
Lord Mayor;Lord Mayor - Kon Vatskalis;Vehicle Allowance LM;2025;25000.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Acting LM (Alderman);2023;0.0
Lyons Ward;Councillor - Mick Palmer;Reimbursements;2024;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Acting LM (Alderman);2024;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Communication/Internet;2023;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - IT Hardware/Software;2024;0.0
Lyons Ward;Councillor - Mick Palmer;Allowance - Acting LM (Deputy);2024;0.0
Lyons Ward;Councillor - Mick Palmer;Additional allowance;2023;8238.34
Lyons Ward;Councillor - Mick Palmer;Allowance - Extra Meetings;2022;7000.0
Lyons Ward;Councillor - Sam Weston;Allowance - Extra Meetings;2025;10000.0
Lyons Ward;Councillor - Sam Weston;Allowance - Prof Development;2025;8000.0
Lyons Ward;Councillor - Nicole Brown;Councillor’s allowance;2026;15761.03
Lyons Ward;Councillor - Sam Weston;Councillor’s allowance;2026;20054.04
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Extra Meetings;2022;13250.0
Richardson Ward;Councillor - Jimmy Bouhoris;Reimbursements;2024;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Deputy Mayor;2024;5934.11
Richardson Ward;Councillor - Jimmy Bouhoris;Councillor’s allowance;2022;22146.71
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - IT Hardware/Software;2026;3776.57
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Acting LM (Alderman);2023;0.0
Richardson Ward;Councillor - Jimmy Bouhoris;Allowance - Prof Development;2022;3622.35
Richardson Ward;Councillor - Shani Carson;Allowance - Extra Meetings;2026;3100.0
Waters Ward;Councillor - Sylvia Klonaris;Councillor’s allowance;2022;10579.84
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Acting LM (Alderman);2023;0.0
Waters Ward;Councillor - Sylvia Klonaris;Allowance - Communication/Internet;2024;0.0
Waters Ward;Councillor - Kim Farrar;Allowance - IT Hardware/Software;2024;0.0
Waters Ward;Councillor - Kim Farrar;Allowance - Extra Meetings;2025;9900.0
