month;vehicle_type;total_distinct_users;total_trips;total_distance_in_km;provider;co2_offset;ave_dist_per_trip;season
2020-03;E-Scooter;7178;32057;53293.27905;Neuron;7105.912655410801;1.6624537246155284;Nov - Apr
2020-04;E-Scooter;2265;11961;21524.24419;Neuron;2869.9566233178407;1.7995355062285763;Nov - Apr
2020-05;E-Scooter;5129;22996;49542.66067;Neuron;6605.82020309512;2.1544034036354147;May - Oct
2020-06;E-Scooter;7657;35361;64586.6157;Neuron;8611.720990975202;1.8264929074404006;May - Oct
2020-11;E-Scooter;11536;71247;79125.4119;Neuron;10550.265921098402;1.1105788580571814;Nov - Apr
2020-12;E-Bike;3381;8326;18953.24574;Neuron;2527.1499739886403;2.276392714388662;Nov - Apr
2021-01;E-Bike;2617;7180;17874.76171;Neuron;2383.34922736456;2.4895211295264623;Nov - Apr
2021-01;E-Scooter;12213;70563;84685.58487;Neuron;11291.637144226323;1.2001415029122913;Nov - Apr
2021-02;E-Scooter;8575;41396;44623.72863;Neuron;5949.949480609681;1.0779719931877476;Nov - Apr
2021-03;E-Scooter;10363;56367;64021.69884;Neuron;8536.397236530242;1.1358010687104156;Nov - Apr
2021-04;E-Bike;2295;6008;16192.00967;Neuron;2158.97780135912;2.6950748452063915;Nov - Apr
2021-04;E-Scooter;16588;96020;121238.9714;Neuron;16165.5194905904;1.2626429014788585;Nov - Apr
2021-05;E-Bike;3414;9379;22571.14384;Neuron;3009.5460350502403;2.4065618765326793;May - Oct
2021-05;E-Scooter;20892;130525;171936.8047;Neuron;22925.365791479202;1.317271056885654;May - Oct
2021-07;E-Bike;2297;7735;21244.63531;Neuron;2832.6746936941604;2.746559186813187;May - Oct
2021-07;E-Scooter;17883;107679;152276.2856;Neuron;20303.910816761603;1.41416883143417;May - Oct
2021-11;E-Scooter;9431;61922;64189.24921;Neuron;8558.737732664562;1.0366145991731535;Nov - Apr
2022-02;E-Bike;647;2699;6238.632944;Neuron;831.834362221184;2.311460890700259;Nov - Apr
2022-02;E-Scooter;6789;40811;42645.19348;Neuron;5686.139517849281;1.0449436054005048;Nov - Apr
2022-04;E-Scooter;14807;85762;109213.0439;Neuron;14562.030421450401;1.2734432953988946;Nov - Apr
2022-06;E-Bike;1886;6077;16271.14996;Neuron;2169.53005106656;2.6774971137074215;May - Oct
2022-06;E-Scooter;17941;98380;132199.1669;Neuron;17626.908117778403;1.3437605905671886;May - Oct
2022-09;E-Scooter;15728;89475;115924.8812;Neuron;15456.959959683203;1.2956119720592345;May - Oct
2022-10;E-Scooter;13374;74354;94376.5858;Neuron;12583.796444228803;1.2692872717002448;May - Oct
2022-11;E-Scooter;8864;48694;56343.15693;Neuron;7512.571172418481;1.1570862309524788;Nov - Apr
2022-12;E-Bike;641;2591;6746.426111;Neuron;899.541471936296;2.6037924010034734;Nov - Apr
2023-01;E-Bike;560;2163;5707.59774;Neuron;761.0282522606401;2.638741442441054;Nov - Apr
2023-01;E-Scooter;6356;33382;41106.51048;Neuron;5480.977681361281;1.2313974740878317;Nov - Apr
2023-02;E-Bike;401;1859;4868.145411;Neuron;649.0990365210962;2.6186903770844543;Nov - Apr
2023-02;E-Scooter;5124;26846;31163.6371;Neuron;4155.2347163656;1.1608298107725545;Nov - Apr
2023-03;E-Scooter;6619;34183;40824.37324;Neuron;5443.35863032864;1.1942887762923091;Nov - Apr
2023-06;E-Scooter;10863;55515;72686.62307;Neuron;9691.74357366152;1.3093150152211115;May - Oct
2023-08;E-Scooter;11029;61409;82295.04039;Neuron;10972.89150544104;1.340113670471755;May - Oct
2023-11;E-Bike;14;23;28.70386099;Neuron;3.82725800896264;1.2479939560869564;Nov - Apr
2024-04;E-Scooter;5334;25565;32211.9;Beam;6614.0;1.26;Nov - Apr
2024-05;E-Bike;1452;3567;7205.34;Beam;1473.89;2.02;May - Oct
2024-05;E-Scooter;7056;32812;41343.12;Beam;8483.0;1.26;May - Oct
2024-06;E-Scooter;8273;40155;55815.45;Beam;11465.0;1.39;May - Oct
2024-09;E-Scooter;9070;50001;68501.37000000001;Beam;14087.0;1.37;May - Oct
2025-01;E-Bike;590;1247;2269.54;Beam;464.66;1.82;Nov - Apr
2025-04;E-Bike;221;588;1005.48;Beam;206.07;1.71;Nov - Apr
2025-04;E-Scooter;6774;42847;37276.89;Beam;7637.0;0.87;Nov - Apr
2025-07;E-Bike;787;2182;3600.2999999999997;Beam;738.52;1.65;May - Oct
2025-09;E-Scooter;8743;54576;52938.72;Beam;10832.0;0.97;May - Oct
2025-11;E-Scooter;4253;24349;19479.2;Beam;3985.0;0.8;Nov - Apr
2020-01;E-Scooter;2749;7395;14203.35995;Neuron;1893.8192022932003;1.9206707167004733;Nov - Apr
2020-02;E-Scooter;8212;33028;53668.08783;Neuron;7155.888158900881;1.6249269659077146;Nov - Apr
2020-08;E-Scooter;11982;63554;131680.1912;Neuron;17557.7099738432;2.0719418321427447;May - Oct
2020-09;E-Scooter;11738;63336;80371.61708;Neuron;10716.429934978882;1.268972102437792;May - Oct
2020-10;E-Scooter;14053;85389;103125.7105;Neuron;13750.369735228001;1.2077165735633395;May - Oct
2020-12;E-Scooter;14398;72692;86504.89193;Neuron;11534.216270378482;1.1900194234578771;Nov - Apr
2021-02;E-Bike;1442;3587;8741.737036;Neuron;1165.5882494320963;2.437060785057151;Nov - Apr
2021-03;E-Bike;1297;3615;9909.25883;Neuron;1321.2609353568803;2.7411504370677733;Nov - Apr
2021-06;E-Scooter;17557;96252;131170.4105;Neuron;17489.737854428004;1.362781142210032;May - Oct
2021-08;E-Bike;2771;9622;25368.62886;Neuron;3382.5514976769605;2.636523473290376;May - Oct
2021-09;E-Scooter;16806;119834;147136.2102;Neuron;19618.553723227204;1.227833588130247;May - Oct
2021-10;E-Scooter;16924;116969;138928.5553;Neuron;18524.177849480802;1.1877382494507092;May - Oct
2021-12;E-Scooter;10230;57087;60806.85205;Neuron;8107.742424938801;1.0651611058559742;Nov - Apr
2022-01;E-Bike;524;1630;4539.388003;Neuron;605.2638387680081;2.784900615337423;Nov - Apr
2022-01;E-Scooter;7723;52157;61245.27402;Neuron;8166.199856730721;1.1742484042410415;Nov - Apr
2022-03;E-Bike;874;3470;8410.535664;Neuron;1121.4271832951042;2.423785493948127;Nov - Apr
2022-05;E-Scooter;17729;103968;133076.6786;Neuron;17743.912017809602;1.2799772872422286;May - Oct
2022-07;E-Bike;2160;6615;18572.82419;Neuron;2476.4260861978405;2.807683173091459;May - Oct
2022-07;E-Scooter;22230;121283;175190.2161;Neuron;23359.1626539096;1.4444746262872785;May - Oct
2023-03;E-Bike;406;1878;4638.63551;Neuron;618.49710436136;2.4699869595314166;Nov - Apr
2023-04;E-Bike;327;1168;2954.873167;Neuron;393.99096859511207;2.5298571635273976;Nov - Apr
2023-10;E-Scooter;7663;40800;50849.09108;Neuron;6780.014408242881;1.2463012519607843;May - Oct
2023-12;E-Bike;713;1561;2731.75;Beam;112.53;1.75;Nov - Apr
2023-12;E-Scooter;4715;19764;24507.36;Beam;5024.0;1.24;Nov - Apr
2024-02;E-Scooter;2731;11913;13342.560000000001;Beam;2728.0;1.12;Nov - Apr
2024-03;E-Bike;688;1481;2695.42;Beam;551.96;1.82;Nov - Apr
2024-04;E-Bike;1192;3077;6215.54;Beam;1274.31;2.02;Nov - Apr
2024-07;E-Scooter;10670;53568;79816.31999999999;Beam;16330.0;1.4899999999999998;May - Oct
2024-08;E-Bike;1855;4633;9682.97;Beam;1984.5;2.09;May - Oct
2024-10;E-Bike;1111;2688;5080.32;Beam;1041.69;1.89;May - Oct
2024-10;E-Scooter;7506;42626;54987.54;Beam;11292.0;1.29;May - Oct
