organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
Action for Change Foundation;22/23;Sponsorships;Quiz for Dili;5245;0;5245
Agentur Pty Ltd;20/21;Environmental Grant;SERA 2021 Sponsorship Session (Society for Ecological Restoration Australasia);1500;0;1500
Amazing XR;22/23;Community Grant;Nine week Virtual Reality Gaming program for ages 13 years plus (targeting LGBTQI and girls). 3 x 1.5hr VR E-sports gaming sessions (one per week at 3.30pm at The Shak (Sanderson Middle school). The last gaming session (on Sat 10/12) will be a special event allowing a “play off” between participants selected by Debbe throughout the program (based on skill, sportsmanship/most improved).;9929;0;9929
Aqua Ann;22/23;Sponsorships;Healthy Darwin Dry Season – Outdoor Aqua Fun & Fitness;0;149;149
Arafura Wind Ensemble Incorporated;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Performance – musical dialogue of the music of the time of Cyclone Tracy;4050;0;4050
Arafura Wind Ensemble Incorporated;22/23;Community Grant;We are inviting the community to celebrate our 30th birthday with us through two free musical performances including guest vocalists in 2023. One performance will be indoors to maximise performance quality. The other outdoors and the performance audience specifically for children, and will include an inaugural performance of music specifically arranged for our concert band.;5250;0;5250
ASMY;24/25;Sponsorships;Healthy Darwin 2025 dry season weekly activity – Hatha yoga and mantra (13 sessions);0;260;260
Athletics Northern Territory Incorporated;21/22;Sponsorships;;5000;2500;7500
Australia Hotel Association – NT Branch Inc;22/23;Sponsorships;2022 Gold Plate Awards – Darwin Local Produce Champion / Production of the Year Award;9091;0;9091
Australian Youth Climate Coalition (AYCC);19/20;Sponsorships;;3000;0;3000
Bass in the Grass;20/21;Sponsorships;;0;9000;9000
Biodiversity Watch;22/23;Sponsorships;Cane Toad Management Events;1000;0;1000
Biodiversity Watch;23/24;Environmental Grant;Research to minimise the effects of cane toads on Darwin’s goanna population;8565;0;8565
BirdLife Top End;23/24;Sponsorships;Shorebird Festival – opening reception;0;120;120
Brother to Another Inc;21/22;Community Grant;Mentoring & Weekend Activity Participation Costs;5000;0;5000
Brown’s Mart Arts Ltd;23/24;Sponsorships;Brown’s Mart’s Artistic Program including the First Nations Writing Program;10000;0;10000
Brown’s Mart Arts Ltd;21/22;Sponsorships;;8500;1500;10000
Brown’s Mart Arts Ltd;21/22;Sponsorships;;10000;1000;11000
Cancer Patients Foundation;19/20;Community Grant;Look Good, Feel Better;3000;0;3000
Carolyn Macdonald, Auspiced by Brown’s Mart;19/20;Environmental Grant;High Tides at Casuarina Square;6000;0;6000
Charles Darwin University;21/22;Environmental Grant;Research – Rapid Creek Bird Abundance Phase 1;9971;0;9971
Charles Darwin University;20/21;Environmental Grant;George Brown Memorial Scholarship;3000;0;3000
Childbirth Education Australia;23/24;Environmental Grant;Promote the use of modern cloth nappies as an alternative to disposable nappies;7475;0;7475
Chinese Community of Northern Australia Incorporated;21/22;Community Grant;Mid-Autumn Festival;5000;0;5000
Christmas in Darwin Association;21/22;Operational Subsidy;;30000;0;30000
Christmas in Darwin Association;22/23;Operational Subsidy;;31530;0;31530
Climate Action Darwin, Auspiced by Environment Centre NT;19/20;Environmental Grant;Darwin, A Climate Awakening;2700;0;2700
Clubhouse Territory Inc;21/22;Community Grant;Be-Inclusive Games Programs;7538;0;7538
Corrugated Iron Youth Arts;21/22;Community Grant;Nitestreet 2002;8841;0;8841
