measure;sector;year;count_amt;type
Establishments;Drink;2022;24.0;Core
Establishments;Drink;2023;30.0;Core
Establishments;Leisure & Entertainment;2020;111.0;Core
Establishments;Leisure & Entertainment;2021;115.0;Core
Establishments;Leisure & Entertainment;2023;135.0;Core
Establishments;Food;2020;279.0;Core
Establishments;Food;2023;300.0;Core
Employment;Leisure & Entertainment;2020;940.0;Core
Employment;Leisure & Entertainment;2021;1175.0;Core
Employment;Food;2020;2465.0;Core
Turnover (A$m);Leisure & Entertainment;2020;251.402066425147;Core
Turnover (A$m);Leisure & Entertainment;2021;253.938199367523;Core
Turnover (A$m);Food;2023;460.216774283541;Core
Establishments;Accommodation;2022;60.0;Non-Core
Establishments;Care;2023;27.0;Non-Core
Establishments;Design;2023;286.0;Non-Core
Establishments;Education;2021;62.0;Non-Core
Establishments;Education;2022;68.0;Non-Core
Establishments;Education;2023;75.0;Non-Core
Establishments;Food;2020;70.0;Non-Core
Establishments;Food;2023;68.0;Non-Core
Establishments;Infrastructure;2022;38.0;Non-Core
Establishments;Libraries & Archives;2022;0.0;Non-Core
Establishments;Promotion;2020;23.0;Non-Core
Establishments;Research;2021;5.0;Non-Core
Establishments;Research;2022;4.0;Non-Core
Establishments;Retail/Other;2020;205.0;Non-Core
Establishments;Retail/Other;2021;207.0;Non-Core
Establishments;Transport;2022;186.0;Non-Core
Employment;Accommodation;2022;1325.0;Non-Core
Employment;Care;2021;940.0;Non-Core
Employment;Design;2022;1240.0;Non-Core
Employment;Education;2022;245.0;Non-Core
Employment;Food;2021;770.0;Non-Core
Employment;Food;2023;850.0;Non-Core
Employment;Infrastructure;2021;555.0;Non-Core
Employment;Libraries & Archives;2020;0.0;Non-Core
Employment;Libraries & Archives;2022;0.0;Non-Core
Employment;Promotion;2020;115.0;Non-Core
Employment;Promotion;2021;120.0;Non-Core
Employment;Research;2020;20.0;Non-Core
Employment;Research;2021;20.0;Non-Core
Turnover (A$m);Accommodation;2020;271.298;Non-Core
Turnover (A$m);Accommodation;2023;352.97077809286;Non-Core
Turnover (A$m);Care;2020;134.24661087044;Non-Core
Turnover (A$m);Care;2021;153.757662657247;Non-Core
Turnover (A$m);Care;2023;168.328003150892;Non-Core
Turnover (A$m);Education;2021;27.6671386378302;Non-Core
Turnover (A$m);Education;2022;28.1858962394271;Non-Core
Turnover (A$m);Food;2021;360.789340773612;Non-Core
Turnover (A$m);Food;2022;374.095173936352;Non-Core
Turnover (A$m);Promotion;2022;40.8622080683348;Non-Core
Turnover (A$m);Research;2021;6.3658132200908;Non-Core
Turnover (A$m);Research;2022;7.0395799816048;Non-Core
Turnover (A$m);Transport;2023;95.305080776396;Non-Core
Establishments;Drink;2021;6.0;Supply
Establishments;Entertainment;2023;29.0;Supply
Establishments;Food;2020;34.0;Supply
Establishments;Food;2022;41.0;Supply
Establishments;Food;2023;33.0;Supply
Employment;Entertainment;2023;145.0;Supply
